player,outcome,x,y,role
G. Simeone,Miss,84,43,Forward
G. Pezzella,Miss,76,57,Defender
G. Chiellini,Miss,86,58,Defender
A. Taarabt,Miss,85,24,Midfielder
P. Dybala,GOAL,88,42,Forward
P. Dybala,Miss,73,45,Forward
G. Higuaín,Miss,88,54,Forward
A. Galabinov,Miss,93,41,Forward
Miguel Veloso,Miss,73,62,Midfielder
P. Dybala,Miss,88,53,Forward
M. Mandžukić,Miss,96,39,Forward
G. Higuaín,Miss,80,39,Forward
M. Mandžukić,Miss,83,46,Forward
M. Mandžukić,Miss,96,57,Forward
G. Higuaín,Miss,92,75,Forward
G. Higuaín,Miss,89,57,Forward
J. Cuadrado,GOAL,89,63,Midfielder
D. Laxalt,Miss,78,23,Midfielder
Miguel Veloso,Miss,76,67,Midfielder
M. Pjanić,Miss,84,55,Midfielder
R. Palladino,Miss,89,35,Forward
G. Lapadula,Miss,91,53,Forward
P. Dybala,GOAL,86,72,Forward
P. Cutrone,Miss,89,62,Forward
P. Cutrone,GOAL,98,44,Forward
R. Rodríguez,Miss,69,36,Defender
A. Ioniţă,Miss,87,44,Midfielder
M. Sau,Miss,91,65,Forward
R. Montolivo,Miss,72,69,Midfielder
Diego Farias,Miss,89,34,Forward
João Pedro,Miss,75,45,Midfielder
N. Barella,Miss,93,32,Midfielder
Suso,Miss,80,71,Forward
L. Cigarini,Miss,75,41,Midfielder
F. Borini,Miss,87,70,Forward
P. Cutrone,Miss,90,32,Forward
M. Musacchio,Miss,97,43,Defender
Diego Farias,Miss,80,63,Forward
F. Borini,Miss,79,32,Forward
F. Borini,Miss,97,46,Forward
N. Barella,Miss,74,51,Midfielder
H. Çalhanoğlu,Miss,78,20,Midfielder
L. Cigarini,Miss,80,40,Midfielder
João Pedro,GOAL,89,62,Midfielder
Suso,Miss,74,62,Forward
F. Borini,Miss,72,51,Forward
P. Cutrone,Miss,87,36,Forward
M. Sau,Miss,96,40,Forward
M. Capuano,Miss,91,59,Defender
M. Sau,Miss,78,69,Forward
R. Montolivo,Miss,79,34,Midfielder
P. Faragò,Miss,99,35,Midfielder
D. Mertens,Miss,89,33,Forward
A. Petagna,Miss,92,69,Forward
B. Cristante,GOAL,91,67,Midfielder
R. Freuler,Miss,78,47,Midfielder
J. Iličić,Miss,77,68,Forward
A. Gómez,Miss,80,23,Forward
J. Iličić,Miss,77,54,Forward
A. Masiello,Miss,89,34,Defender
Rafael Tolói,Miss,90,44,Defender
J. Palomino,Miss,90,37,Defender
H. Hateboer,Miss,93,69,Defender
M. Hamšík,Miss,88,37,Midfielder
P. Zieliński,Miss,74,38,Midfielder
Rafael Tolói,Miss,89,52,Defender
J. Iličić,Miss,80,33,Forward
Jorginho,Miss,71,48,Midfielder
P. Zieliński,GOAL,80,54,Midfielder
B. Cristante,Miss,86,57,Midfielder
D. Mertens,GOAL,93,54,Forward
J. Kurtič,Miss,87,39,Midfielder
José Callejón,Miss,90,25,Forward
D. Mertens,Miss,91,63,Forward
M. Rog,GOAL,88,43,Midfielder
A. Candreva,Miss,90,54,Midfielder
M. Icardi,Miss,95,39,Forward
A. Kolarov,Miss,75,60,Defender
E. Džeko,Miss,92,32,Forward
R. Nainggolan,Miss,74,64,Midfielder
E. Džeko,GOAL,92,47,Forward
Borja Valero,Miss,89,54,Midfielder
G. Defrel,Miss,88,48,Forward
E. Džeko,Miss,80,38,Forward
A. Candreva,Miss,68,64,Midfielder
R. Nainggolan,Miss,74,68,Midfielder
M. Icardi,Miss,86,67,Forward
K. Strootman,Miss,92,30,Midfielder
D. De Rossi,Miss,73,37,Midfielder
D. Perotti,Miss,77,28,Forward
E. Džeko,Miss,88,33,Forward
João Mário,Miss,76,62,Midfielder
D. Perotti,Miss,78,28,Forward
I. Perišić,Miss,87,65,Midfielder
M. Icardi,GOAL,87,59,Forward
S. El Shaarawy,Miss,90,59,Forward
M. Vecino,Miss,88,55,Midfielder
R. Nainggolan,Miss,92,64,Midfielder
M. Icardi,GOAL,88,41,Forward
M. Icardi,Miss,89,69,Forward
R. Nainggolan,Miss,86,47,Midfielder
R. Nainggolan,Miss,88,46,Midfielder
M. Vecino,GOAL,97,46,Midfielder
C. Ünder,Miss,81,59,Forward
João Mário,Miss,91,31,Midfielder
K. Lasagna,Miss,95,37,Forward
K. Lasagna,Miss,86,69,Forward
S. Fofana,Miss,70,63,Midfielder
S. Fofana,Miss,72,72,Midfielder
M. Borriello,Miss,87,25,Forward
M. Borriello,GOAL,89,31,Forward
P. Schiattarella,Miss,73,57,Midfielder
R. de Paul,Miss,70,54,Midfielder
R. de Paul,Miss,86,37,Midfielder
R. de Paul,Miss,73,70,Midfielder
Samir,Miss,76,31,Defender
M. Borriello,Miss,90,54,Forward
M. Lazzari,GOAL,97,65,Midfielder
F. Viviani,Miss,91,37,Midfielder
S. Floccari,Miss,96,42,Forward
B. Nuytinck,GOAL,93,42,Defender
E. Schiavon,Miss,71,50,Midfielder
R. de Paul,Miss,72,54,Midfielder
F. Viviani,Miss,70,68,Midfielder
L. Rizzo,GOAL,89,36,Midfielder
S. Missiroli,Miss,79,38,Midfielder
A. Ljajić,Miss,87,26,Forward
M. Politano,Miss,75,35,Forward
L. De Silvestri,Miss,92,51,Defender
A. Belotti,Miss,85,35,Forward
P. Cannavaro,Miss,70,50,Defender
D. Berardi,Miss,80,65,Forward
F. Magnanelli,Miss,78,68,Midfielder
M. Politano,Miss,70,58,Forward
D. Berardi,Miss,83,71,Forward
D. Berardi,Miss,79,51,Forward
M. Gazzola,Miss,74,31,Defender
A. Belotti,GOAL,90,29,Forward
Álex Berenguer,Miss,84,22,Forward
Iago Falqué,Miss,82,38,Forward
T. Rincón,Miss,84,75,Midfielder
Pol Lirola,Miss,78,75,Defender
A. Ljajić,Miss,90,35,Forward
S. Edera,Miss,89,47,Forward
A. Ljajić,GOAL,91,47,Forward
J. Obi,GOAL,90,51,Midfielder
A. Belotti,Miss,82,62,Forward
F. Magnanelli,Miss,72,33,Midfielder
D. Berardi,Miss,83,37,Forward
J. Iličić,Miss,91,35,Forward
J. Iličić,Miss,94,36,Forward
A. Gómez,Miss,90,23,Forward
S. Sensi,GOAL,88,43,Midfielder
A. Cornelius,GOAL,79,59,Forward
S. Sensi,Miss,88,59,Midfielder
D. Falcinelli,Miss,92,40,Forward
D. Berardi,Miss,76,38,Forward
D. Falcinelli,Miss,95,43,Forward
F. Magnanelli,Miss,73,46,Midfielder
H. Hateboer,Miss,81,67,Defender
D. Berardi,Miss,80,48,Forward
A. Petagna,GOAL,92,52,Forward
A. Ragusa,Miss,88,41,Forward
A. Matri,Miss,87,42,Forward
D. Berardi,Miss,59,27,Forward
F. Acerbi,Miss,91,53,Defender
P. Iemmello,Miss,90,61,Forward
L. Memushaj,Miss,79,46,Midfielder
A. Ljajić,Miss,87,35,Forward
P. Iemmello,Miss,75,41,Forward
A. Ciciretti,Miss,70,53,Forward
A. Ljajić,Miss,74,58,Forward
Iago Falqué,Miss,78,61,Forward
F. Lucioni,Miss,94,46,Defender
P. Iemmello,Miss,88,60,Forward
M. D'Alessandro,Miss,83,45,Forward
M. Niang,Miss,89,24,Forward
A. Ljajić,Miss,72,66,Forward
A. Belotti,Miss,87,46,Forward
A. Ljajić,Miss,80,48,Forward
M. Coda,Miss,79,58,Forward
