player,outcome,x,y,role
T. Ndombèlé,Miss,95,36,Midfielder
M. Konaté,Miss,88,52,Forward
T. Ndombèlé,Miss,88,71,Midfielder
J. Ielsch,Miss,86,24,Defender
O. El Hajjam,Miss,87,67,Defender
R. Hamouma,Miss,82,32,Forward
J. Bamba,Miss,90,63,Forward
B. Dabo,GOAL,86,51,Midfielder
B. Dibassy,Miss,88,56,Defender
P. Gouano,Miss,90,57,Defender
L. Diony,Miss,87,38,Forward
B. Dibassy,Miss,90,45,Defender
T. Ndombèlé,Miss,59,26,Midfielder
K. Théophile Catherine,Miss,91,46,Defender
H. Manzala,Miss,88,29,Midfielder
R. Hamouma,Miss,87,40,Forward
Hernani,Miss,87,60,Midfielder
O. El Hajjam,Miss,86,56,Defender
K. Djidji,Miss,97,40,Defender
D. Alcibiade,Miss,68,64,Defender
A. Niane,Miss,88,46,Forward
B. Nivet,Miss,87,56,Midfielder
S. Grandsir,Miss,92,76,Forward
Andrei Girotto,Miss,89,64,Midfielder
A. Niane,Miss,82,41,Forward
J. Iloki,Miss,73,60,Midfielder
J. Iloki,Miss,83,29,Midfielder
B. Nivet,Miss,91,46,Midfielder
K. Azamoum,Miss,76,46,Midfielder
A. Touré,Miss,70,70,Midfielder
Andrei Girotto,Miss,76,66,Midfielder
B. Pelé,Miss,80,27,Midfielder
S. Darbion,Miss,79,66,Midfielder
E. Sala,GOAL,87,42,Forward
J. Ielsch,Miss,89,34,Defender
E. Bourgaud,Miss,73,71,Midfielder
A. Pléa,Miss,74,37,Forward
M. Konaté,Miss,83,71,Forward
R. Walter,Miss,69,40,Midfielder
M. Konaté,Miss,87,74,Forward
J. Ielsch,Miss,94,43,Defender
M. Konaté,GOAL,96,61,Forward
W. Sneijder,Miss,71,33,Midfielder
W. Sneijder,Miss,65,36,Midfielder
E. Bourgaud,Miss,84,75,Midfielder
O. El Hajjam,Miss,72,60,Defender
A. Tameze,Miss,87,38,Midfielder
R. Walter,Miss,72,51,Midfielder
W. Sneijder,Miss,91,40,Midfielder
M. Konaté,Miss,89,22,Forward
K. Adénon,Miss,92,54,Defender
W. Sneijder,Miss,75,60,Midfielder
A. Saint-Maximin,Miss,81,37,Forward
W. Sneijder,Miss,72,35,Midfielder
A. Saint-Maximin,Miss,76,33,Forward
M. Konaté,GOAL,99,50,Forward
E. Crivelli,Miss,85,47,Forward
P. Capelle,Miss,72,51,Midfielder
Y. Bissouma,Miss,85,51,Midfielder
Luiz Araújo,Miss,89,31,Forward
N. de Préville,Miss,90,38,Forward
A. Fulgini,Miss,73,35,Midfielder
Y. Bissouma,Miss,68,74,Midfielder
K. Malcuit,Miss,80,72,Defender
Y. Bissouma,Miss,69,49,Midfielder
A. Fulgini,Miss,88,44,Midfielder
Luiz Araújo,Miss,78,21,Forward
Luiz Araújo,Miss,81,23,Forward
Luiz Araújo,Miss,87,35,Forward
A. Fulgini,Miss,89,67,Midfielder
B. Santamaria,Miss,93,35,Midfielder
T. Mangani,Miss,90,35,Midfielder
N. Pépé,Miss,78,66,Forward
A. Fulgini,Miss,98,33,Midfielder
