player,outcome,x,y,role
P. Sisto,Miss,82,56,Midfielder
Joaquín,Miss,92,44,Midfielder
Joaquín,Miss,89,36,Midfielder
Sergio León,GOAL,96,53,Forward
A. Mandi,Miss,93,34,Defender
Sergio León,Miss,79,61,Forward
D. Wass,Miss,74,74,Midfielder
Sergio León,Miss,95,39,Forward
A. Guardado,Miss,91,50,Midfielder
Z. Feddal,GOAL,90,46,Defender
Hugo Mallo,Miss,73,58,Defender
A. Guardado,Miss,58,20,Midfielder
Hugo Mallo,Miss,72,74,Defender
S. Lobotka,Miss,87,34,Midfielder
Maxi Gómez,Miss,95,73,Forward
Ander Capa,Miss,84,69,Defender
T. Inui,Miss,82,34,Midfielder
Charles,Miss,79,49,Forward
Charles,Miss,87,33,Forward
Rubén Peña,Miss,75,72,Midfielder
Iñigo Córdoba,Miss,76,39,Midfielder
Aduriz,GOAL,94,54,Forward
Ramis,Miss,75,35,Defender
Ramis,Miss,87,53,Defender
Dani García,Miss,77,45,Midfielder
Bebé,Miss,90,70,Midfielder
Raúl García,Miss,82,55,Midfielder
Iñaki Williams,Miss,86,53,Forward
Kike García,Miss,94,52,Forward
Kike García,Miss,94,59,Forward
Aduriz,Miss,90,23,Forward
Bebé,Miss,66,40,Midfielder
Muniain,Miss,88,41,Forward
Sergi Enrich,Miss,92,57,Forward
Lekue,Miss,76,27,Defender
C. Bacca,Miss,91,41,Forward
Sergio León,GOAL,92,48,Forward
Samu Castillejo,Miss,91,47,Midfielder
C. Bakambu,Miss,85,70,Forward
C. Bacca,GOAL,93,45,Forward
J. Narváez,Miss,72,52,Midfielder
C. Bacca,Miss,84,54,Forward
Rodri,Miss,76,58,Midfielder
Trigueros,Miss,91,59,Midfielder
Samu Castillejo,Miss,87,80,Midfielder
Trigueros,Miss,94,37,Midfielder
Pablo Fornals,Miss,89,41,Midfielder
Cristian Tello,Miss,88,47,Forward
Samu Castillejo,GOAL,78,60,Midfielder
Samu Castillejo,Miss,90,68,Midfielder
R. Durmisi,Miss,82,39,Defender
J. Narváez,Miss,72,54,Midfielder
E. Ünal,GOAL,88,65,Forward
C. Bakambu,Miss,86,28,Forward
Jordi Amat,Miss,92,63,Defender
J. Narváez,Miss,76,56,Midfielder
Juanmi,GOAL,91,50,Forward
Illarramendi,GOAL,76,60,Midfielder
Juanfran,Miss,75,67,Defender
A. Januzaj,Miss,81,74,Midfielder
Adrián López,GOAL,90,29,Forward
A. Januzaj,Miss,91,64,Midfielder
Bruno Gama,Miss,90,27,Midfielder
F. Andone,Miss,93,59,Forward
F. Andone,GOAL,95,50,Forward
A. Januzaj,Miss,89,63,Midfielder
Íñigo Martínez,Miss,94,42,Defender
A. Januzaj,Miss,77,79,Midfielder
F. Andone,Miss,87,36,Forward
Íñigo Martínez,Miss,90,55,Defender
Adrián López,Miss,73,35,Forward
A. Januzaj,Miss,96,33,Midfielder
Willian José,Miss,92,52,Forward
Diego Llorente,GOAL,97,52,Defender
Illarramendi,GOAL,87,65,Midfielder
Diego Llorente,Miss,53,52,Defender
Willian José,Miss,86,38,Forward
Á. Correa,Miss,82,65,Forward
Andreas Pereira,Miss,83,44,Midfielder
Thomas,Miss,76,50,Midfielder
L. Vietto,Miss,89,49,Forward
José Gayá,Miss,68,34,Defender
Rodrigo,Miss,87,38,Forward
L. Vietto,Miss,93,52,Forward
Y. Carrasco,Miss,78,60,Forward
G. Kondogbia,Miss,76,43,Midfielder
Á. Correa,Miss,90,65,Forward
Gabriel,Miss,92,43,Defender
N. Gaitán,Miss,89,37,Midfielder
Fernando Torres,Miss,80,53,Forward
N. Gaitán,Miss,80,32,Midfielder
S. Zaza,Miss,80,65,Forward
