player,outcome,x,y,role
T. Hazard,Miss,92,31,Forward
S. Falette,Miss,93,40,Defender
Raffael,Miss,74,41,Forward
G. Fernandes,Miss,82,50,Midfielder
M. Gaćinović,Miss,80,32,Midfielder
D. Zakaria,Miss,85,54,Midfielder
T. Hazard,Miss,88,41,Forward
T. Hazard,Miss,72,16,Forward
Raffael,Miss,73,50,Forward
C. Salcedo,Miss,75,68,Defender
M. Ginter,Miss,89,41,Defender
L. Stindl,Miss,72,58,Forward
T. Hazard,Miss,91,63,Forward
M. Ginter,Miss,92,48,Defender
T. Hazard,Miss,95,32,Forward
M. Gaćinović,Miss,88,71,Midfielder
R. Bobadilla,Miss,84,54,Forward
M. Gaćinović,Miss,71,56,Midfielder
L. Stindl,Miss,90,41,Forward
J. Villalba,Miss,93,60,Forward
L. Goretzka,Miss,77,48,Midfielder
N. Bentaleb,Miss,79,37,Midfielder
B. Pavard,Miss,89,53,Defender
Y. Konoplyanka,Miss,90,58,Midfielder
C. Akolo,Miss,72,78,Forward
S. Terodde,Miss,91,47,Forward
C. Akolo,GOAL,88,56,Forward
Naldo,GOAL,94,49,Defender
G. Burgstaller,GOAL,85,55,Forward
S. Terodde,Miss,92,38,Forward
L. Goretzka,Miss,79,37,Midfielder
A. Harit,Miss,76,62,Midfielder
A. Donis,Miss,82,64,Forward
S. Terodde,Miss,97,60,Forward
M. Nastasić,Miss,90,42,Defender
T. Asano,Miss,82,70,Forward
W. McKennie,Miss,91,59,Midfielder
T. Baumgartl,Miss,89,64,Defender
S. Ascacíbar,Miss,75,59,Midfielder
J. Córdoba,Miss,92,63,Forward
M. Gregoritsch,Miss,74,29,Forward
Y. Ōsako,Miss,73,62,Forward
J. Gouweleeuw,Miss,97,50,Defender
A. Finnbogason,GOAL,95,47,Forward
L. Bittencourt,Miss,76,43,Midfielder
M. Hinteregger,Miss,90,46,Defender
L. Bittencourt,Miss,82,34,Midfielder
L. Bittencourt,Miss,75,27,Midfielder
M. Lehmann,Miss,69,46,Midfielder
A. Finnbogason,Miss,97,42,Forward
A. Finnbogason,Miss,90,42,Forward
S. Zoller,Miss,89,66,Forward
S. Guirassy,Miss,93,61,Forward
M. Hinteregger,Miss,79,76,Defender
S. Guirassy,Miss,92,52,Forward
S. Guirassy,Miss,91,63,Forward
S. Guirassy,Miss,82,33,Forward
S. Córdova,Miss,84,49,Forward
A. Finnbogason,GOAL,96,34,Forward
N. Keïta,Miss,88,62,Midfielder
J. Augustin,Miss,97,41,Forward
N. Keïta,Miss,79,39,Midfielder
W. Orban,Miss,87,54,Defender
T. Werner,Miss,96,31,Forward
F. Kostić,Miss,88,32,Midfielder
Walace,Miss,86,62,Midfielder
Walace,Miss,76,60,Midfielder
N. Keïta,Miss,76,36,Midfielder
N. Keïta,Miss,73,50,Midfielder
L. Waldschmidt,Miss,77,58,Forward
M. Halstenberg,Miss,77,48,Defender
Bruma,Miss,82,31,Forward
N. Keïta,GOAL,77,61,Midfielder
M. Sabitzer,Miss,81,36,Midfielder
T. Werner,Miss,98,39,Forward
T. Werner,GOAL,88,40,Forward
D. Demme,Miss,73,26,Midfielder
K. Kampl,Miss,89,34,Midfielder
N. Keïta,Miss,81,63,Midfielder
M. Halstenberg,Miss,85,31,Defender
M. Sabitzer,Miss,93,44,Midfielder
A. Hahn,Miss,82,17,Forward
D. Brosinski,Miss,71,59,Defender
A. Mehmedi,Miss,84,72,Forward
D. Latza,Miss,89,36,Midfielder
D. Kohr,GOAL,87,56,Midfielder
B. Henrichs,Miss,71,37,Defender
D. Brosinski,Miss,72,38,Defender
L. Öztunali,Miss,75,65,Midfielder
Y. Muto,GOAL,90,58,Forward
F. Frei,Miss,75,26,Midfielder
K. Volland,Miss,90,53,Forward
A. Diallo,GOAL,94,38,Defender
L. Balogun,Miss,91,37,Defender
D. Kohr,Miss,74,39,Midfielder
K. Bellarabi,Miss,76,44,Midfielder
G. Donati,Miss,84,72,Defender
Y. Muto,Miss,83,25,Forward
S. Serdar,GOAL,81,40,Midfielder
P. De Blasis,Miss,78,5,Forward
K. Bellarabi,Miss,78,43,Midfielder
P. De Blasis,Miss,87,51,Forward
J. Pohjanpalo,Miss,89,49,Forward
S. Kießling,Miss,94,47,Forward
S. Bender,Miss,90,54,Defender
Jonathas,Miss,98,55,Forward
Y. Gerhardt,Miss,80,32,Defender
M. Harnik,Miss,92,31,Forward
D. Origi,Miss,90,64,Forward
J. Guilavogui,Miss,94,66,Midfielder
D. Origi,Miss,72,61,Forward
F. Klaus,Miss,87,36,Midfielder
F. Klaus,Miss,82,33,Midfielder
D. Didavi,Miss,75,48,Midfielder
D. Didavi,Miss,89,44,Midfielder
D. Origi,Miss,96,52,Forward
D. Didavi,Miss,91,62,Midfielder
Camacho,Miss,88,50,Midfielder
