player,outcome,x,y,role
G. Wijnaldum,Miss,74,49,Midfielder
C. Benteke,Miss,93,55,Forward
Roberto Firmino,Miss,85,26,Forward
Roberto Firmino,Miss,76,44,Forward
J. Henderson,Miss,72,57,Midfielder
A. Robertson,Miss,89,29,Defender
S. Mané,Miss,86,42,Forward
G. Wijnaldum,Miss,90,59,Midfielder
S. Mané,Miss,88,43,Forward
S. Mané,GOAL,89,44,Forward
Mohamed Salah,Miss,89,34,Forward
Roberto Firmino,Miss,70,54,Forward
D. Solanke,Miss,91,31,Forward
D. Solanke,Miss,89,69,Forward
Roberto Firmino,Miss,87,67,Forward
A. Robertson,Miss,80,27,Defender
Mohamed Salah,Miss,81,65,Forward
S. Mané,Miss,89,35,Forward
N. Otamendi,Miss,75,30,Defender
D. Calvert-Lewin,Miss,83,79,Forward
S. Agüero,Miss,89,65,Forward
S. Agüero,Miss,91,65,Forward
Gabriel Jesus,Miss,73,41,Forward
K. De Bruyne,Miss,76,56,Midfielder
T. Davies,Miss,77,50,Midfielder
A. Williams,Miss,90,44,Defender
N. Otamendi,Miss,73,27,Defender
N. Otamendi,Miss,90,55,Defender
David Silva,Miss,91,38,Midfielder
W. Rooney,GOAL,90,58,Forward
V. Kompany,Miss,87,38,Defender
Gabriel Jesus,Miss,89,59,Forward
D. Calvert-Lewin,Miss,86,55,Forward
S. Agüero,Miss,82,51,Forward
David Silva,Miss,77,65,Midfielder
Bernardo Silva,Miss,90,58,Midfielder
R. Sterling,Miss,73,56,Forward
W. Rooney,Miss,71,93,Forward
R. Sterling,Miss,88,69,Forward
K. De Bruyne,Miss,82,53,Midfielder
Danilo,Miss,93,67,Defender
W. Rooney,Miss,88,56,Forward
R. Sterling,GOAL,90,49,Forward
Jesé Rodríguez,Miss,96,32,Forward
D. Welbeck,Miss,97,39,Forward
A. Oxlade-Chamberlain,Miss,77,69,Midfielder
E. Choupo-Moting,Miss,90,61,Forward
A. Ramsey,Miss,97,61,Midfielder
