Player,PrimaryPosition,Games,acceleration_pg,acceleration_acc,launch_pg,launch_acc,smartpass_pg,smartpass_acc,throughball_pg,throughball_acc,shots_pg,goals_pg,assists_pg,keypasses_pg,counterattacks_pg,opportunities_pg,feints_pg,anticipated_rate,consistency,Rating
M. Britos,rb,11,0.000,0.400,1.273,0.471,0.091,0.381,0.273,0.348,0.364,0.091,0.000,0.182,0.364,0.273,0.000,0.044,0.455,62.96
S. Mignolet,gk,19,0.000,0.400,6.211,0.565,0.000,0.400,0.000,0.400,0.000,0.000,0.000,0.000,0.526,0.000,0.000,0.000,0.587,62.61
J. Matip,lb,24,0.167,0.500,1.000,0.432,0.292,0.296,0.625,0.314,0.458,0.042,0.000,0.000,0.542,0.417,0.000,0.066,0.547,60.79
E. Can,cm,27,1.185,0.769,0.593,0.389,0.667,0.421,1.296,0.327,1.037,0.111,0.111,0.259,1.222,0.778,0.037,0.019,0.617,68.57
T. Alexander-Arnold,lb,20,0.700,0.647,1.050,0.463,0.800,0.500,2.000,0.400,0.500,0.050,0.050,0.800,0.900,0.350,0.050,0.038,0.609,69.50
Alberto Moreno,rb,16,0.875,0.618,0.688,0.452,0.625,0.400,0.812,0.364,0.688,0.000,0.000,0.375,0.875,0.438,0.000,0.046,0.463,64.90
A. Doucouré,cm,37,0.865,0.731,0.622,0.395,0.892,0.340,0.568,0.268,1.189,0.189,0.054,0.216,1.405,0.757,0.000,0.014,0.778,66.37
N. Amrabat,st,36,1.028,0.789,0.111,0.375,1.167,0.355,1.028,0.351,1.167,0.056,0.056,0.361,2.056,0.806,0.000,0.005,0.493,68.34
Gomes,gk,24,0.000,0.400,7.125,0.649,0.000,0.400,0.000,0.400,0.000,0.000,0.000,0.000,0.292,0.000,0.000,0.000,0.433,62.38
J. Henderson,cm,33,0.273,0.552,0.848,0.417,1.182,0.390,2.303,0.375,0.606,0.030,0.030,0.364,1.121,0.364,0.030,0.019,0.567,67.85
G. Wijnaldum,cam,33,0.818,0.702,0.212,0.407,0.364,0.312,0.424,0.265,1.091,0.030,0.030,0.121,0.879,0.606,0.091,0.017,0.463,63.43
Roberto Firmino,st,41,0.634,0.739,0.049,0.455,2.171,0.376,1.512,0.305,2.098,0.366,0.098,0.341,1.610,1.585,0.122,0.003,0.575,74.62
Mohamed Salah,lw,38,1.211,0.727,0.000,0.400,1.816,0.382,1.237,0.299,3.711,0.842,0.211,0.553,2.500,3.132,0.158,0.000,0.709,82.21
R. Pereyra,cam,32,0.500,0.611,0.031,0.429,0.406,0.455,0.188,0.385,1.000,0.156,0.031,0.219,0.875,0.781,0.062,0.003,0.447,67.03
T. Cleverley,cm,23,0.435,0.600,0.652,0.457,0.609,0.382,0.826,0.308,0.609,0.043,0.043,0.435,1.217,0.435,0.043,0.021,0.629,65.54
Kiko Femenía,lb,23,0.826,0.692,0.783,0.474,0.435,0.500,0.130,0.391,0.391,0.043,0.043,0.522,0.696,0.261,0.000,0.052,0.603,66.14
Richarlison,rw,38,1.026,0.729,0.211,0.429,1.105,0.306,0.763,0.265,2.368,0.132,0.105,0.184,1.895,1.974,0.026,0.003,0.594,69.05
A. Gray,st,29,0.103,0.478,0.000,0.400,0.586,0.351,0.379,0.387,1.172,0.172,0.069,0.138,0.862,1.000,0.034,0.003,0.245,65.77
D. Origi,lw,33,0.242,0.571,0.030,0.381,0.273,0.310,0.212,0.333,1.909,0.182,0.061,0.121,1.000,1.485,0.061,0.003,0.388,65.64
J. Milner,cam,33,0.182,0.538,0.333,0.355,1.030,0.407,0.970,0.308,0.606,0.000,0.061,0.485,0.818,0.424,0.030,0.019,0.331,65.62
