Player,PrimaryPosition,Games,CrossAccuracy,CrossesPerGame,KeyPassesPerGame,Consistency,TurnoverRate,Rating
O. Kucher,rb,1,0.464,8.000,1.000,1.000,0.536,65.057
T. Cionek,lb,17,0.494,7.882,0.059,0.563,0.506,68.488
B. Butko,rb,1,0.440,5.000,0.000,1.000,0.560,64.488
J. Kimmich,lb,35,0.527,10.971,0.486,0.623,0.473,78.365
C. Erkin,rb,2,0.382,17.500,0.000,0.954,0.618,66.044
V. Ćorluka,lb,5,0.515,9.200,0.000,0.774,0.485,66.452
D. Srna,lb,4,0.420,12.250,1.500,0.673,0.580,66.645
I. Strinić,rb,26,0.372,6.885,0.038,0.497,0.628,68.057
D. Vida,rb,9,0.368,4.111,0.000,0.072,0.632,62.780
G. Gönül,lb,3,0.455,4.333,0.667,0.000,0.545,63.475
H. Balta,rcb,3,0.441,4.667,0.000,0.603,0.559,63.321
Piqué,lb,38,0.614,5.474,0.000,0.650,0.386,71.471
Juanfran,lb,21,0.407,4.667,0.238,0.463,0.593,65.725
Jordi Alba,rb,41,0.424,5.732,0.293,0.386,0.576,69.495
T. Sivok,lcb,3,0.588,4.667,0.000,0.861,0.412,63.887
Sergio Ramos,rb,34,0.618,7.647,0.147,0.700,0.382,74.519
R. Hubník,rb,3,0.462,6.333,0.000,0.606,0.538,63.796
D. Limberský,rb,2,0.345,4.500,0.000,0.000,0.655,63.394
P. Kadeřábek,lb,30,0.405,6.333,0.133,0.415,0.595,68.963
T. Jedvaj,lb,10,0.457,5.000,0.100,0.299,0.543,64.436
D. Pudil,rb,1,0.375,4.000,0.000,1.000,0.625,64.327
İ. Köybaşı,rb,1,0.391,3.000,0.000,1.000,0.609,64.254
A. Granqvist,rb,8,0.533,5.000,0.000,0.628,0.467,65.026
M. Lustig,lb,5,0.492,7.800,1.000,0.599,0.508,66.818
A. Barzagli,lcb,21,0.626,4.905,0.000,0.478,0.374,67.851
L. Ciman,lb,1,0.429,8.000,0.000,1.000,0.571,64.747
G. Chiellini,rb,28,0.520,8.143,0.036,0.607,0.480,72.124
L. Bonucci,lcb,39,0.584,10.590,0.026,0.652,0.416,77.604
T. Vermaelen,rb,17,0.544,3.471,0.000,0.343,0.456,64.633
E. Johansson,lb,2,0.440,2.500,0.000,0.798,0.560,63.521
T. Meunier,lb,31,0.445,6.097,0.548,0.454,0.555,70.826
J. O'Shea,lcb,2,0.400,2.500,0.000,0.151,0.600,63.215
R. Keogh,rcb,2,0.429,4.000,0.000,0.596,0.571,63.686
M. De Sciglio,lb,15,0.556,5.867,0.267,0.476,0.444,67.314
D. Alaba,rb,25,0.418,6.280,0.200,0.277,0.582,67.822
R. Guzmics,rcb,4,0.340,8.250,0.000,0.612,0.660,63.609
A. Fiola,lb,1,0.333,4.000,0.000,1.000,0.667,64.282
M. Hinteregger,rb,33,0.542,8.667,0.030,0.574,0.458,73.836
T. Kádár,rb,3,0.512,7.000,0.000,0.598,0.488,64.108
Á. Lang,lcb,7,0.466,5.429,0.000,0.551,0.534,64.676
F. Klein,lb,3,0.308,6.333,0.000,0.000,0.692,63.039
A. Skúlason,rb,5,0.569,7.600,0.000,0.723,0.431,66.050
B. Sævarsson,lb,8,0.479,6.625,0.000,0.569,0.521,65.492
Raphaël Guerreiro,rb,17,0.453,6.353,0.294,0.394,0.547,67.052
