Player,PrimaryPosition,Games,GroundDuelAcc,AerialDuelAcc,GroundDuelsPG,ClearancesPG,FoulsPG,Consistency,SlidingTacklesPG,SlidingTackleAcc,InterceptionsPG,AnticipationRatio,Rating
I. Diop,lb,34,0.572,0.641,5.47,2.441,1.029,0.671,0.82,0.558,5.41,0.766,85.622
M. Gradel,rw,29,0.449,0.272,7.24,0.724,1.552,0.600,0.41,0.407,3.03,0.188,76.050
G. Lo Celso,cm,33,0.487,0.447,5.58,0.242,0.667,0.305,0.79,0.463,2.21,0.310,77.468
M. Amalfitano,cam,14,0.406,0.281,1.21,0.571,0.643,0.000,0.14,0.353,1.21,0.273,67.966
Júlio Tavares,st,26,0.406,0.593,1.88,1.000,1.077,0.000,0.08,0.412,1.65,0.176,67.720
D. Bahamboula,cam,4,0.353,0.471,0.50,0.000,0.500,0.000,0.00,0.400,0.25,0.400,71.353
J. Ielsch,rb,11,0.506,0.310,6.36,0.909,1.273,0.464,0.91,0.480,3.18,0.400,77.884
M. Konaté,st,35,0.468,0.434,1.77,0.200,1.657,0.183,0.03,0.375,1.14,0.125,66.232
Hernani,cam,14,0.338,0.512,4.21,0.286,1.143,0.069,0.79,0.308,1.64,0.389,71.513
Andrei Girotto,cm,25,0.491,0.578,6.40,1.080,1.320,0.432,0.52,0.536,3.56,0.593,79.085
D. Alcibiade,cb,3,0.474,0.524,7.67,1.667,0.667,0.667,0.00,0.400,5.67,0.571,76.067
A. Walongwa,lb,1,0.500,0.438,7.00,2.000,0.000,1.000,0.00,0.400,8.00,0.438,75.600
M. Stępiński,st,23,0.477,0.358,2.17,0.174,0.957,0.264,0.35,0.435,0.48,0.308,70.535
N. Gandi,rcm,5,0.536,0.421,2.60,0.400,0.400,0.716,0.00,0.400,1.80,0.412,74.419
Y. El Ghanassy,cam,20,0.528,0.393,1.90,0.000,0.500,0.433,0.15,0.444,0.55,0.400,72.013
W. Kanga,st,9,0.542,0.333,1.00,0.000,0.333,0.407,0.00,0.400,0.11,0.316,71.891
Xeka,cm,18,0.420,0.516,7.11,1.167,1.667,0.580,0.17,0.389,3.72,0.458,75.580
Otávio,cdm,21,0.500,0.458,8.33,0.905,1.190,0.515,1.00,0.500,4.81,0.577,82.476
E. Kawashima,gk,33,0.478,0.455,0.24,0.242,0.061,0.172,0.03,0.438,1.73,0.438,68.021
E. Imorou,rb,1,0.474,0.438,4.00,0.000,0.000,1.000,0.00,0.400,2.00,0.375,74.969
B. Fernández,st,7,0.450,0.444,0.71,0.000,0.143,0.234,0.00,0.400,0.00,0.375,71.244
J. Sambia,cam,28,0.454,0.514,3.32,0.286,0.929,0.109,0.29,0.304,2.04,0.262,70.019
M. Terrier,rw,25,0.560,0.492,4.04,0.120,1.120,0.594,0.68,0.438,1.16,0.312,77.216
J. Martins-Pereira,lb,14,0.577,0.574,7.71,1.500,1.071,0.519,0.79,0.385,4.57,0.735,81.599
N. Benezet,cam,29,0.462,0.390,3.52,0.138,0.862,0.283,0.24,0.364,1.03,0.281,70.552
A. Touré,lb,19,0.578,0.554,6.95,1.579,1.368,0.530,0.68,0.464,3.63,0.538,81.474
K. Coulibaly,st,8,0.533,0.478,1.88,0.375,1.000,0.457,0.12,0.375,1.38,0.316,73.035
F. Mendy,rb,27,0.541,0.561,5.74,0.963,1.111,0.595,0.37,0.440,3.89,0.625,79.131
H. Aouar,ram,32,0.454,0.533,6.00,0.844,0.625,0.537,0.12,0.368,3.25,0.452,75.741
V. Pajot,cm,20,0.461,0.621,4.35,0.900,1.800,0.270,1.00,0.343,3.80,0.481,75.847
L. Lacroix,cb,11,0.625,0.569,4.45,2.455,0.909,0.752,0.27,0.389,4.00,0.607,78.969
Yuri Berchiche,rb,22,0.526,0.640,7.09,0.773,0.773,0.480,0.64,0.517,4.41,0.429,81.312
R. M'Bolhi,gk,1,0.375,0.438,1.00,0.000,0.000,1.000,0.00,0.400,0.00,0.400,74.438
N. Janvier,cam,3,0.400,0.421,3.33,0.000,0.333,1.000,0.00,0.400,0.67,0.400,74.222
I. Sylla,rb,25,0.487,0.600,6.88,1.520,1.040,0.423,0.64,0.516,4.12,0.571,80.639
P. Djilobodji,rb,30,0.620,0.696,5.63,4.267,0.733,0.530,0.83,0.475,7.37,0.810,87.881
J. Repas,ram,15,0.493,0.396,4.00,0.200,1.267,0.430,0.47,0.409,1.47,0.240,73.769
C. Martins Pereira,rcm,2,0.400,0.450,5.00,0.000,1.000,0.293,0.00,0.400,1.00,0.471,74.100
F. Eboa Eboa,cb,22,0.489,0.724,5.64,2.409,0.773,0.397,0.05,0.375,5.91,0.677,77.711
G. Nyamsi,lb,3,0.472,0.576,7.00,2.667,1.000,0.583,0.00,0.400,4.33,0.526,75.893
A. Abdennour,rb,8,0.521,0.462,4.12,1.375,1.125,0.366,0.75,0.429,2.88,0.500,76.209
W. Khazri,cam,27,0.434,0.408,3.96,0.111,1.556,0.272,0.04,0.438,1.81,0.211,69.441
T. Koubek,gk,34,0.400,0.714,0.15,0.441,0.029,0.000,0.03,0.375,1.94,0.438,66.234
S. Prcić,cm,19,0.421,0.524,6.58,1.053,0.737,0.428,0.58,0.346,4.79,0.519,77.030
E. Rivière,st,28,0.406,0.399,3.07,0.036,1.500,0.178,0.07,0.412,0.75,0.235,67.194
M. Dossevi,lam,30,0.429,0.389,4.87,0.367,0.900,0.406,0.40,0.407,2.47,0.244,73.164
