Player,PrimaryPosition,Games,pass_acc,through_acc,freekick_acc,assists_pg,avg_pg,consistency,turnover_rate,Rating
Cédric Soares,lb,39,0.738,0.412,0.420,0.308,43.538,0.902,0.262,81.48
D. Tadić,cam,39,0.745,0.320,0.418,0.641,31.923,0.886,0.255,81.99
J. Ayew,rw,36,0.833,0.111,0.400,0.111,22.083,0.906,0.167,80.37
M. Olsson,rb,41,0.745,0.300,0.368,0.195,33.634,0.852,0.255,79.17
M. Gabbiadini,st,25,0.720,0.250,0.000,0.160,7.560,0.666,0.280,74.18
J. Ward-Prowse,lam,29,0.808,0.000,0.333,0.172,25.724,0.692,0.192,79.06
N. Redmond,ram,31,0.762,0.200,0.419,0.226,26.516,0.832,0.238,78.91
R. Bertrand,rb,36,0.794,0.375,0.375,0.333,43.306,0.890,0.206,83.45
L. Fer,lcm,20,0.835,0.429,0.000,0.050,29.350,0.879,0.165,80.83
T. Carroll,rcm,37,0.841,0.276,0.531,0.189,37.514,0.870,0.159,83.42
Ł. Fabiański,gk,43,0.814,0.167,0.000,0.000,19.023,0.882,0.186,78.10
M. Yoshida,cb,28,0.869,0.444,1.000,0.071,47.071,0.882,0.131,85.22
F. Forster,gk,20,0.730,0.000,0.000,0.000,14.250,0.818,0.270,75.25
T. Abraham,lw,30,0.739,0.444,0.429,0.100,8.033,0.703,0.261,74.94
S. Boufal,ram,26,0.771,0.211,0.467,0.269,21.154,0.820,0.229,78.90
C. Austin,rw,23,0.800,0.000,0.000,0.043,8.261,0.782,0.200,76.47
J. Fulton,rcm,2,0.714,0.000,0.000,0.000,3.500,0.529,0.286,78.65
K. Bartley,lb,5,0.857,0.000,0.000,0.200,21.000,0.892,0.143,80.32
S. McQueen,rcm,6,0.794,1.000,0.000,0.000,10.500,0.785,0.206,79.03
O. McBurnie,lw,11,0.800,0.000,0.000,0.000,7.273,0.818,0.200,77.54
N. Chalobah,rcm,6,0.794,0.111,0.000,0.000,28.333,0.865,0.206,79.47
J. Holebas,rb,28,0.721,0.143,0.400,0.107,35.036,0.855,0.279,77.95
D. Janmaat,lb,23,0.770,0.429,0.397,0.261,35.739,0.893,0.230,81.05
Y. Kaboul,cb,2,0.816,0.000,0.000,0.000,38.000,0.863,0.184,80.05
M. Britos,rb,11,0.829,0.000,0.600,0.182,33.455,0.846,0.171,81.01
D. Lovren,cb,35,0.909,0.333,0.500,0.114,59.029,0.796,0.091,87.87
J. Matip,lb,23,0.916,0.200,0.500,0.000,68.565,0.937,0.084,87.69
E. Can,cm,27,0.877,0.286,0.333,0.222,56.074,0.938,0.123,86.73
T. Alexander-Arnold,lb,19,0.775,0.400,0.383,0.579,59.053,0.882,0.225,84.77
Alberto Moreno,rb,16,0.841,0.308,0.308,0.312,49.938,0.913,0.159,84.04
S. Mané,rw,32,0.817,0.356,0.346,0.375,31.844,0.903,0.183,82.92
A. Doucouré,cm,37,0.862,0.143,0.458,0.162,58.865,0.930,0.138,86.86
N. Amrabat,st,36,0.666,0.324,0.328,0.361,16.139,0.762,0.334,74.59
Gomes,gk,24,0.829,0.000,0.000,0.000,16.333,0.859,0.171,78.30
J. Henderson,cm,33,0.865,0.368,0.400,0.364,71.242,0.942,0.135,89.85
S. Mignolet,gk,19,0.863,0.000,0.000,0.000,22.632,0.898,0.137,80.20
G. Wijnaldum,cam,33,0.909,0.071,0.500,0.091,37.121,0.888,0.091,84.80
Roberto Firmino,st,41,0.755,0.274,0.269,0.317,27.927,0.860,0.245,79.47
Mohamed Salah,lw,38,0.780,0.255,0.414,0.342,25.158,0.910,0.220,80.56
S. Okaka,st,14,0.731,0.400,1.000,0.071,9.571,0.801,0.269,76.99
T. Cleverley,cm,23,0.853,0.211,0.433,0.174,47.000,0.935,0.147,84.25
R. Pereyra,cam,32,0.859,0.333,0.586,0.219,21.312,0.869,0.141,82.16
Kiko Femenía,lb,22,0.837,0.333,0.474,0.545,38.273,0.900,0.163,84.67
Richarlison,rw,38,0.696,0.172,0.320,0.132,19.711,0.758,0.304,74.34
A. Gray,st,26,0.738,0.364,1.000,0.154,10.423,0.682,0.262,76.03
J. Milner,cam,33,0.860,0.250,0.608,0.303,44.727,0.727,0.140,84.85
D. Origi,lw,32,0.771,0.143,0.300,0.125,11.469,0.676,0.229,75.78
J. Gomez,lb,23,0.863,0.111,0.517,0.261,57.739,0.923,0.137,86.04
J. Livermore,lcm,34,0.813,0.321,0.636,0.206,31.529,0.900,0.187,81.99
C. Brunt,rcm,26,0.769,0.389,0.529,0.308,33.769,0.844,0.231,80.92
C. Daniels,rb,35,0.789,0.278,0.204,0.257,45.171,0.890,0.211,82.67
A. Nyom,lb,29,0.767,0.400,0.466,0.172,28.586,0.761,0.233,79.10
A. Begović,gk,38,0.828,0.000,0.000,0.000,16.105,0.898,0.172,78.12
S. Cook,cb,34,0.809,0.300,0.500,0.000,36.500,0.822,0.191,80.69
S. Francis,lb,32,0.784,0.286,0.545,0.344,47.969,0.892,0.216,83.62
C. Yacob,cdm,16,0.854,0.000,0.000,0.000,22.750,0.911,0.146,80.03
B. Foster,gk,37,0.766,0.000,0.000,0.000,15.676,0.835,0.234,75.43
N. Aké,rb,38,0.868,0.455,0.333,0.000,40.500,0.911,0.132,84.03
A. Surman,cm,25,0.876,0.400,1.000,0.080,44.320,0.918,0.124,85.02
J. King,rw,33,0.753,0.286,0.429,0.545,19.273,0.857,0.247,79.82
R. Fraser,cam,26,0.774,0.300,0.500,0.308,33.115,0.893,0.226,81.06
Ahmed Hegazy,cb,41,0.796,0.000,0.455,0.049,30.537,0.895,0.204,79.55
H. Arter,cm,13,0.890,0.167,0.500,0.077,42.692,0.900,0.110,83.14
J. Rodriguez,st,37,0.749,0.400,0.273,0.108,16.919,0.811,0.251,76.48
J. McClean,ram,34,0.699,0.111,0.447,0.206,13.676,0.739,0.301,74.27
S. Field,rcm,10,0.775,0.000,0.667,0.100,16.000,0.831,0.225,78.48
M. Phillips,lam,30,0.675,0.500,0.403,0.400,19.300,0.795,0.325,76.37
C. Dawson,lb,28,0.746,0.273,0.615,0.143,31.750,0.880,0.254,79.09
