Player,PrimaryPosition,Games,LongPassAcc,LongthroughPassAcc,LongPassAssistsPerGame,FreeKickAcc,Consistency,TurnoverRate,Rating
L. Fer,lcm,20,0.778,0.444,0.050,0.500,0.723,0.222,74.131
T. Carroll,rcm,37,0.719,0.406,0.162,0.571,0.769,0.281,73.449
Ł. Fabiański,gk,43,0.773,0.375,0.000,0.700,0.859,0.227,74.334
M. Yoshida,cb,28,0.808,0.500,0.000,0.727,0.727,0.192,77.105
F. Forster,gk,20,0.676,0.455,0.000,0.700,0.778,0.324,71.132
T. Abraham,lw,30,0.627,0.467,0.033,0.588,0.468,0.373,66.220
S. Boufal,ram,26,0.711,0.368,0.077,0.560,0.476,0.289,68.209
C. Austin,rw,23,0.676,0.417,0.043,0.636,0.302,0.324,66.334
J. Fulton,rcm,2,0.591,0.500,0.000,0.700,0.000,0.409,69.822
K. Bartley,lb,5,0.730,0.500,0.000,0.700,0.863,0.270,73.063
S. McQueen,rcm,6,0.595,0.545,0.000,0.636,0.574,0.405,69.932
O. McBurnie,lw,11,0.677,0.500,0.000,0.636,0.763,0.323,71.782
N. Chalobah,rcm,6,0.663,0.375,0.000,0.636,0.757,0.337,70.239
J. Holebas,rb,28,0.619,0.400,0.107,0.435,0.730,0.381,67.545
D. Janmaat,lb,23,0.649,0.429,0.217,0.441,0.760,0.351,71.207
Y. Kaboul,cb,2,0.723,0.455,0.000,0.700,0.933,0.277,72.260
M. Britos,rb,11,0.768,0.417,0.182,0.667,0.627,0.232,73.705
D. Lovren,cb,35,0.871,0.407,0.086,0.667,0.788,0.129,79.628
J. Matip,lb,23,0.863,0.348,0.000,0.667,0.893,0.137,76.918
E. Can,cm,27,0.819,0.351,0.111,0.526,0.862,0.181,76.205
T. Alexander-Arnold,lb,19,0.662,0.413,0.474,0.429,0.824,0.338,74.773
Alberto Moreno,rb,16,0.732,0.500,0.250,0.417,0.828,0.268,76.090
S. Mané,rw,32,0.722,0.406,0.188,0.444,0.698,0.278,72.729
