Player,PrimaryPosition,Games,LongPassAcc,LongthroughPassAcc,LongPassAssistsPerGame,FreeKickAcc,Consistency,TurnoverRate,Rating
C. Ninga,rw,27,0.556,0.333,0.074,0.421,0.092,0.444,56.893
C. Kouakou,lw,19,0.566,0.455,0.000,0.562,0.282,0.434,62.735
S. Peeters,rcm,20,0.639,0.381,0.050,0.458,0.636,0.361,67.012
S. Sessègnon,cam,16,0.742,0.435,0.125,0.688,0.717,0.258,73.782
A. Mbengue,rb,19,0.525,0.350,0.211,0.410,0.742,0.475,65.027
S. Koita,rw,6,0.611,0.500,0.000,0.636,0.194,0.389,68.145
Dani Alves,lb,25,0.744,0.448,0.440,0.474,0.874,0.256,79.326
Marquinhos,lb,27,0.895,0.400,0.037,0.700,0.933,0.105,80.651
M. Bodmer,cb,13,0.780,0.467,0.000,0.727,0.689,0.220,73.937
P. Gouano,lb,32,0.799,0.462,0.031,0.667,0.793,0.201,76.911
O. El Hajjam,lb,25,0.536,0.250,0.080,0.391,0.777,0.464,61.132
T. Ndombèlé,cm,35,0.888,0.429,0.200,0.688,0.871,0.112,83.445
I. Cissokho,lb,19,0.672,0.438,0.105,0.500,0.760,0.328,71.140
K. Adénon,cb,33,0.821,0.400,0.000,0.700,0.843,0.179,76.634
T. Monconduit,cm,34,0.752,0.324,0.059,0.750,0.850,0.248,72.869
M. Verratti,lcm,22,0.860,0.414,0.273,0.619,0.887,0.140,81.147
A. Rabiot,rcm,33,0.884,0.560,0.121,0.625,0.884,0.116,85.039
Thiago Silva,cb,30,0.936,0.526,0.000,0.636,0.950,0.064,85.145
Á. di María,cam,33,0.608,0.348,0.182,0.291,0.687,0.392,65.629
L. Kurzawa,rb,20,0.716,0.429,0.100,0.472,0.730,0.284,72.132
A. Aréola,gk,34,0.864,0.500,0.000,0.700,0.853,0.136,81.092
J. Pastore,cam,25,0.740,0.581,0.160,0.571,0.789,0.260,78.073
G. Fofana,lcm,16,0.615,0.312,0.062,0.600,0.189,0.385,62.493
R. Gurtner,gk,37,0.717,0.385,0.000,0.700,0.839,0.283,71.753
H. Manzala,ram,37,0.622,0.400,0.054,0.613,0.523,0.378,64.943
E. Cavani,st,36,0.762,0.524,0.083,0.435,0.661,0.238,75.541
P. Kimpembe,rb,29,0.920,0.412,0.069,0.571,0.927,0.080,82.129
C. Charrier,cam,3,0.690,0.417,0.000,0.750,0.753,0.310,71.493
E. Bourgaud,lcm,17,0.680,0.500,0.176,0.524,0.689,0.320,72.862
Gonçalo Guedes,rw,37,0.708,0.485,0.189,0.545,0.680,0.292,74.261
A. Pléa,rw,35,0.736,0.333,0.000,0.417,0.791,0.264,69.820
R. Walter,cm,19,0.814,0.500,0.053,0.571,0.799,0.186,77.311
Dante,cb,33,0.884,0.367,0.030,0.769,0.889,0.116,79.689
Y. Cardinale,gk,11,0.858,0.500,0.000,0.700,0.903,0.142,77.629
M. Le Marchand,rb,29,0.816,0.333,0.103,0.394,0.879,0.184,75.391
O. Selnæs,cdm,26,0.804,0.444,0.115,0.571,0.822,0.196,77.428
S. Janko,lb,21,0.601,0.429,0.095,0.481,0.478,0.399,65.695
V. Eysseric,cam,21,0.723,0.350,0.095,0.478,0.582,0.277,69.479
A. Dioussé,rcm,25,0.806,0.353,0.040,0.500,0.668,0.194,72.808
S. Ruffier,gk,34,0.808,0.500,0.000,0.700,0.856,0.192,78.684
L. Perrin,cb,28,0.851,0.481,0.071,0.700,0.905,0.149,81.003
K. Théophile Catherine,cb,24,0.760,0.267,0.000,0.714,0.832,0.240,70.827
J. Bamba,lw,34,0.688,0.478,0.176,0.431,0.645,0.312,72.214
R. Hamouma,lw,28,0.669,0.368,0.179,0.514,0.614,0.331,68.921
A. Souquet,lb,29,0.806,0.333,0.069,0.500,0.847,0.194,74.569
M. Sarr,rb,21,0.825,0.273,0.048,0.533,0.757,0.175,72.785
V. Koziello,cm,27,0.904,0.375,0.000,0.571,0.872,0.096,79.018
R. Pierre-Gabriel,cb,16,0.742,0.444,0.062,0.467,0.607,0.258,71.892
O. Tannane,lw,16,0.637,0.316,0.000,0.625,0.683,0.363,66.512
B. Dabo,cm,26,0.728,0.333,0.231,0.522,0.680,0.272,71.877
B. Srarfi,lam,26,0.700,0.294,0.000,0.714,0.502,0.300,65.885
P. Lees Melou,cm,34,0.765,0.438,0.147,0.417,0.830,0.235,76.093
V. Marcel,ram,1,0.652,0.500,0.000,0.700,1.000,0.348,71.913
L. Diony,st,16,0.600,0.500,0.000,0.538,0.256,0.400,65.095
J. Makengo,ram,5,0.707,0.500,0.000,0.600,0.794,0.293,72.319
A. Tameze,cm,26,0.876,0.368,0.077,0.667,0.905,0.124,79.218
A. Niane,st,33,0.573,0.583,0.000,0.529,0.246,0.427,63.573
B. Nivet,cam,26,0.718,0.407,0.115,0.529,0.676,0.282,71.632
B. André,cm,34,0.759,0.265,0.088,0.556,0.838,0.241,71.355
R. Bensebaini,rb,29,0.680,0.400,0.172,0.417,0.760,0.320,71.117
M. Samassa,gk,21,0.785,0.385,0.000,0.700,0.840,0.215,74.259
T. Dingomé,rcm,14,0.753,0.429,0.500,0.480,0.825,0.247,77.789
L. Baal,rb,17,0.691,0.429,0.118,0.577,0.716,0.309,71.623
A. Diallo,gk,3,0.717,0.500,0.000,0.700,0.853,0.283,72.463
B. Bourigeaud,lam,37,0.695,0.333,0.243,0.348,0.796,0.305,71.227
F. Maouassa,ram,18,0.582,0.545,0.056,0.409,0.456,0.418,66.864
J. Gnagnon,cb,35,0.879,0.273,0.000,0.636,0.891,0.121,76.434
K. Azamoum,lcm,30,0.657,0.444,0.033,0.440,0.600,0.343,67.782
A. Hunou,cam,23,0.689,0.385,0.043,0.529,0.583,0.311,68.338
H. Traoré,lb,30,0.681,0.259,0.033,0.373,0.782,0.319,66.077
S. Darbion,ram,23,0.652,0.467,0.217,0.448,0.695,0.348,71.544
J. Obiang,rb,8,0.570,0.455,0.000,0.550,0.570,0.430,67.716
O. Vizcarrondo,cb,20,0.816,0.438,0.000,0.700,0.860,0.184,76.556
C. Hérelle,rb,34,0.830,0.429,0.000,0.700,0.877,0.170,78.125
M. Deplagne,lb,28,0.680,0.471,0.143,0.415,0.768,0.320,72.409
I. Sarr,cam,27,0.610,0.429,0.037,0.289,0.503,0.390,64.318
S. Grandsir,lw,36,0.572,0.406,0.222,0.448,0.620,0.428,65.748
F. Mubele,lw,30,0.591,0.467,0.067,0.429,0.423,0.409,64.174
J. Lea Siliki,cam,30,0.640,0.385,0.100,0.472,0.734,0.360,68.040
J. Tell,lw,6,0.615,0.500,0.000,0.700,0.293,0.385,68.738
S. Khaoui,cam,33,0.638,0.391,0.030,0.632,0.470,0.362,64.858
J. Tinhan,lw,5,0.542,0.500,0.000,0.636,0.000,0.458,66.777
Y. Andreu,rb,23,0.667,0.462,0.087,0.519,0.780,0.333,71.421
G. Kakuta,cam,36,0.597,0.327,0.278,0.421,0.697,0.403,66.394
E. Crivelli,st,26,0.645,0.500,0.038,0.700,0.544,0.355,69.090
B. Dibassy,rb,32,0.698,0.353,0.000,0.516,0.734,0.302,68.468
J. Dompé,lam,1,0.522,0.500,0.000,0.636,1.000,0.478,71.379
G. N'Gosso,cm,12,0.800,0.462,0.083,0.727,0.750,0.200,75.474
C. Philipps,cdm,11,0.798,0.400,0.091,0.643,0.799,0.202,74.524
J. Rivierez,lb,26,0.699,0.333,0.154,0.559,0.780,0.301,70.837
O. Nguette,rw,17,0.708,0.455,0.059,0.571,0.605,0.292,71.145
M. Niakhaté,rb,35,0.794,0.350,0.000,0.643,0.768,0.206,73.352
Jonathan Cafu,rw,18,0.663,0.417,0.056,0.526,0.572,0.337,68.438
D. Da Silva,cb,32,0.853,0.375,0.000,0.700,0.877,0.147,77.742
H. Maïga,lcm,13,0.652,0.462,0.231,0.478,0.716,0.348,71.880
Gabriel Silva,rb,25,0.633,0.467,0.120,0.489,0.639,0.367,69.199
A. Diakhaby,rw,19,0.538,0.455,0.053,0.421,0.266,0.462,61.831
A. Bouka Moutou,rb,5,0.685,0.385,0.400,0.688,0.789,0.315,73.051
F. Chafik,lb,23,0.607,0.429,0.217,0.523,0.597,0.393,68.361
Gil Dias,lw,28,0.683,0.438,0.000,0.417,0.659,0.317,68.876
É. Didot,cm,23,0.677,0.300,0.043,0.560,0.773,0.323,67.940
Neymar,rw,25,0.678,0.407,0.480,0.422,0.812,0.322,75.581
M. Thuram,rw,31,0.586,0.385,0.097,0.556,0.353,0.414,62.083
Lucas Lima,rb,33,0.561,0.367,0.333,0.491,0.651,0.439,66.466
Y. Bammou,rw,16,0.600,0.538,0.062,0.476,0.552,0.400,68.560
S. Moutoussamy,cm,7,0.766,0.455,0.143,0.667,0.895,0.234,74.628
L. Ocampos,rw,31,0.628,0.429,0.065,0.438,0.534,0.372,65.880
R. Cabella,cam,29,0.762,0.447,0.138,0.510,0.818,0.238,76.047
J. Seri,cm,31,0.872,0.294,0.097,0.682,0.923,0.128,78.251
F. Bellugou,cb,30,0.748,0.429,0.000,0.643,0.785,0.252,73.322
C. Traoré,rb,34,0.631,0.344,0.176,0.393,0.786,0.369,67.801
H. Mahou,ram,3,0.607,0.500,0.000,0.636,0.394,0.393,70.113
C. Jallet,rb,15,0.767,0.500,0.133,0.500,0.831,0.233,76.094
A. Confais,lcm,15,0.745,0.417,0.000,0.588,0.753,0.255,72.256
Mexer,cb,16,0.842,0.357,0.000,0.769,0.879,0.158,75.803
K. Tete,lb,22,0.757,0.353,0.227,0.482,0.680,0.243,73.209
Y. Bissouma,lcm,24,0.769,0.310,0.000,0.667,0.805,0.231,71.730
J. Grimm,lcm,21,0.746,0.438,0.000,0.643,0.647,0.254,72.040
Y. Cahuzac,cdm,19,0.802,0.455,0.053,0.750,0.829,0.198,76.751
C. Michelin,lb,6,0.617,0.545,0.333,0.556,0.493,0.383,71.771
O. Toivonen,st,28,0.662,0.353,0.036,0.643,0.601,0.338,66.697
G. Sio,st,33,0.564,0.474,0.061,0.393,0.531,0.436,63.839
R. Aguilar,lb,31,0.622,0.370,0.323,0.430,0.723,0.378,69.646
N. Pépé,lw,35,0.670,0.421,0.029,0.500,0.646,0.330,68.223
Y. Aït Bennasser,cm,27,0.782,0.348,0.074,0.533,0.835,0.218,73.932
H. Koffi,gk,4,0.649,0.455,0.000,0.700,0.754,0.351,71.108
I. Faraj,lam,6,0.625,0.500,0.167,0.571,0.373,0.375,70.025
M. Diakhaby,cb,11,0.849,0.500,0.000,0.700,0.814,0.151,76.819
J. Amavi,rb,27,0.726,0.368,0.259,0.469,0.837,0.274,74.307
B. Sarr,lcm,28,0.716,0.438,0.357,0.480,0.781,0.284,76.259
Dória,rb,3,0.700,0.500,0.000,0.700,0.717,0.300,71.949
A. Jallow,rcm,2,0.600,0.500,0.500,0.700,0.798,0.400,72.474
Cafú,rcm,10,0.767,0.455,0.000,0.636,0.764,0.233,73.402
R. Ghezzal,lam,26,0.667,0.333,0.077,0.500,0.652,0.333,67.150
M. Udol,rb,6,0.514,0.500,0.000,0.467,0.351,0.486,66.832
F. Píriz,cm,15,0.809,0.500,0.000,0.727,0.837,0.191,76.720
K. Dolly,rw,17,0.640,0.438,0.176,0.517,0.580,0.360,69.458
W. Sneijder,ram,5,0.730,0.471,0.200,0.625,0.960,0.270,74.066
M. Balotelli,rw,28,0.681,0.432,0.179,0.625,0.757,0.319,72.621
I. Diop,lb,34,0.772,0.400,0.029,0.750,0.866,0.228,75.386
M. Gradel,rw,29,0.518,0.435,0.379,0.352,0.695,0.482,67.048
G. Lo Celso,cm,33,0.899,0.409,0.061,0.476,0.923,0.101,81.126
M. Amalfitano,cam,12,0.609,0.412,0.167,0.478,0.495,0.391,67.831
Júlio Tavares,st,26,0.625,0.357,0.038,0.500,0.519,0.375,64.257
D. Bahamboula,cam,4,0.619,0.500,0.000,0.636,1.000,0.381,71.749
J. Ielsch,rb,11,0.602,0.429,0.091,0.692,0.381,0.398,67.182
M. Konaté,st,35,0.585,0.455,0.114,0.619,0.480,0.415,65.163
Hernani,cam,14,0.782,0.583,0.143,0.562,0.649,0.218,76.757
Andrei Girotto,cm,25,0.684,0.400,0.040,0.562,0.752,0.316,70.030
D. Alcibiade,cb,3,0.679,0.545,0.333,0.643,0.902,0.321,73.523
A. Walongwa,lb,1,0.622,0.500,0.000,0.700,1.000,0.378,71.792
B. Pelé,cam,29,0.596,0.526,0.138,0.451,0.605,0.404,68.667
N. Gandi,rcm,5,0.688,0.455,0.000,0.700,0.818,0.312,71.822
M. Stępiński,st,20,0.600,0.500,0.050,0.583,0.380,0.400,66.136
Y. El Ghanassy,cam,19,0.713,0.538,0.053,0.520,0.629,0.287,72.914
W. Kanga,st,7,0.625,0.500,0.000,0.636,0.134,0.375,67.726
Xeka,cm,18,0.768,0.310,0.056,0.579,0.830,0.232,72.275
Otávio,cdm,21,0.848,0.500,0.143,0.733,0.925,0.152,81.447
E. Kawashima,gk,33,0.810,0.500,0.000,0.700,0.860,0.190,78.771
E. Imorou,rb,1,0.640,0.500,0.000,0.700,1.000,0.360,71.865
B. Fernández,st,6,0.640,0.500,0.000,0.750,0.441,0.360,69.887
J. Sambia,cam,28,0.723,0.417,0.036,0.500,0.669,0.277,70.866
M. Terrier,rw,25,0.633,0.353,0.000,0.500,0.573,0.367,64.627
J. Martins-Pereira,lb,14,0.680,0.462,0.143,0.455,0.812,0.320,72.515
N. Benezet,cam,29,0.667,0.458,0.138,0.324,0.671,0.333,70.259
A. Touré,lb,19,0.617,0.368,0.105,0.500,0.576,0.383,66.307
F. Mendy,rb,27,0.764,0.520,0.037,0.375,0.796,0.236,75.719
K. Coulibaly,st,8,0.553,0.455,0.125,0.615,0.244,0.447,66.618
H. Aouar,ram,32,0.853,0.571,0.094,0.533,0.838,0.147,82.719
V. Pajot,cm,20,0.771,0.400,0.050,0.667,0.669,0.229,73.020
Yuri Berchiche,rb,22,0.745,0.500,0.045,0.364,0.691,0.255,73.399
L. Lacroix,cb,11,0.812,0.500,0.000,0.700,0.764,0.188,75.526
R. M'Bolhi,gk,1,0.594,0.500,0.000,0.700,1.000,0.406,71.682
N. Janvier,cam,3,0.667,0.455,0.000,0.700,0.592,0.333,71.022
P. Djilobodji,rb,30,0.792,0.333,0.000,0.643,0.881,0.208,73.905
J. Repas,ram,14,0.593,0.429,0.071,0.529,0.611,0.407,67.341
C. Martins Pereira,rcm,2,0.690,0.500,0.000,0.700,0.871,0.310,72.091
F. Eboa Eboa,cb,22,0.729,0.417,0.045,0.476,0.559,0.271,70.220
T. Koubek,gk,34,0.735,0.455,0.000,0.700,0.809,0.265,73.882
A. Abdennour,rb,7,0.851,0.545,0.000,0.700,0.948,0.149,76.750
G. Nyamsi,lb,3,0.770,0.455,0.000,0.727,0.885,0.230,72.864
S. Prcić,cm,19,0.835,0.333,0.053,0.611,0.801,0.165,74.900
W. Khazri,cam,27,0.720,0.350,0.185,0.640,0.749,0.280,72.405
E. Rivière,st,28,0.690,0.455,0.036,0.583,0.449,0.310,68.485
M. Dossevi,lam,30,0.652,0.471,0.500,0.500,0.761,0.348,76.213
C. Nkunku,ram,20,0.756,0.455,0.000,0.583,0.750,0.244,73.438
Hilton,cb,27,0.792,0.409,0.000,0.615,0.872,0.208,75.367
Marlon,lb,23,0.909,0.562,0.087,0.636,0.927,0.091,84.483
S. Jovetić,st,15,0.625,0.400,0.000,0.571,0.648,0.375,67.358
I. Ganago,st,4,0.625,0.500,0.000,0.700,1.000,0.375,71.895
N. Mendy,cm,14,0.861,0.462,0.000,0.700,0.847,0.139,77.474
A. Bamba,cb,18,0.562,0.357,0.056,0.333,0.650,0.438,63.947
M. Tahrat,cb,7,0.619,0.500,0.000,0.700,0.625,0.381,70.054
S. Gakpé,lw,29,0.587,0.364,0.034,0.545,0.523,0.413,62.667
B. Zungu,cdm,26,0.803,0.333,0.077,0.526,0.756,0.197,73.649
J. Blayac,st,23,0.609,0.385,0.043,0.583,0.491,0.391,64.619
L. Traoré,st,18,0.640,0.455,0.000,0.636,0.450,0.360,67.076
G. Imbula,cm,28,0.832,0.333,0.071,0.600,0.852,0.168,75.997
I. Sylla,rb,24,0.664,0.533,0.208,0.426,0.739,0.336,73.681
Y. Pelé,gk,10,0.828,0.500,0.000,0.700,0.887,0.172,76.442
K. Monnet-Paquet,rw,30,0.685,0.385,0.033,0.714,0.700,0.315,69.494
F. Bahlouli,cam,11,0.621,0.467,0.091,0.611,0.479,0.379,68.691
B. Koné,cb,28,0.847,0.333,0.036,0.727,0.865,0.153,76.705
D. Benaglio,gk,3,0.780,0.500,0.000,0.700,0.951,0.220,73.378
E. Seka,cb,26,0.672,0.438,0.077,0.433,0.777,0.328,70.670
B. Keita,st,24,0.676,0.538,0.000,0.633,0.545,0.324,70.553
S. Meïté,rcm,20,0.775,0.444,0.050,0.529,0.758,0.225,74.399
Suk Hyun-Jun,st,26,0.547,0.500,0.000,0.600,0.129,0.453,60.426
Danilo Avelar,rb,21,0.549,0.320,0.190,0.291,0.733,0.451,64.353
B. Sankoh,cb,26,0.748,0.500,0.000,0.583,0.593,0.252,72.835
C. Grenier,cam,16,0.660,0.367,0.438,0.452,0.634,0.340,71.840
W. Geubbels,lw,2,0.571,0.455,0.000,0.700,1.000,0.429,71.255
D. Khalid,lw,1,0.583,0.500,0.000,0.700,1.000,0.417,71.641
J. Giraudon,lb,25,0.802,0.269,0.040,0.583,0.824,0.198,72.555
J. Cordoval,lb,11,0.693,0.455,0.000,0.571,0.749,0.307,71.303
A. Søderlund,st,11,0.655,0.500,0.000,0.700,0.777,0.345,71.416
E. Kwateng,lb,1,0.606,0.455,0.000,0.700,1.000,0.394,71.631
R. Krhin,cdm,18,0.823,0.615,0.000,0.700,0.661,0.177,78.323
Q. Cornette,lw,12,0.596,0.429,0.000,0.636,0.363,0.404,65.729
I. Lewczuk,lb,7,0.647,0.500,0.429,0.632,0.714,0.353,73.656
J. Nkololo,lam,10,0.641,0.500,0.400,0.579,0.515,0.359,72.454
M. Michel,gk,7,0.828,0.500,0.000,0.700,0.856,0.172,75.346
F. Tabanou,rcm,14,0.639,0.417,0.214,0.432,0.808,0.361,71.105
Afonso Figueiredo,rb,5,0.582,0.545,0.000,0.500,0.695,0.418,70.242
C. Ben Saada,lam,16,0.667,0.500,0.125,0.571,0.705,0.333,72.108
A. Traoré,ram,4,0.710,0.500,0.000,0.700,0.913,0.290,72.744
M. Yanga-Mbiwa,cb,2,0.794,0.500,0.000,0.700,0.989,0.206,73.069
Boschilia,lcm,4,0.571,0.417,0.000,0.636,0.000,0.429,67.346
L. Fournier,lam,1,0.571,0.500,0.000,0.700,1.000,0.429,71.595
K. Mitroglou,st,16,0.526,0.545,0.000,0.636,0.000,0.474,61.787
S. Ciss,rb,3,0.583,0.455,0.333,0.583,0.909,0.417,71.952
M. Abeid,cdm,19,0.789,0.467,0.000,0.438,0.845,0.211,75.201
A. Raggi,cb,20,0.716,0.385,0.000,0.320,0.743,0.284,69.790
A. Lusamba,lcm,4,0.767,0.500,0.000,0.700,0.600,0.233,72.521
D. Foulquier,lb,16,0.730,0.455,0.062,0.581,0.692,0.270,72.615
H. Mendyl,rb,12,0.667,0.500,0.000,0.357,0.571,0.333,69.580
B. Kamara,cb,6,0.798,0.500,0.000,0.700,0.617,0.202,73.415
V. Thill,cam,1,0.667,0.500,0.000,0.700,1.000,0.333,71.970
Brandon,rw,10,0.636,0.500,0.000,0.562,0.424,0.364,68.564
J. Gelin,lb,27,0.808,0.419,0.037,0.692,0.845,0.192,76.705
P. Burner,lb,11,0.676,0.529,0.091,0.526,0.585,0.324,71.581
W. Benítez,gk,27,0.828,0.500,0.000,0.700,0.855,0.172,78.989
C. M'Bengue,rb,7,0.674,0.471,0.143,0.583,0.772,0.326,72.261
J. Deminguet,ram,12,0.573,0.455,0.083,0.409,0.508,0.427,66.687
I. Diomandé,cdm,11,0.759,0.538,0.000,0.727,0.650,0.241,73.995
N. Basin,rb,5,0.529,0.500,0.200,0.615,0.246,0.471,68.480
B. Soumaré,cm,14,0.783,0.429,0.000,0.700,0.677,0.217,73.310
M. Poaty,rb,3,0.596,0.385,0.000,0.667,0.111,0.404,68.645
Q. Boisgard,cam,6,0.541,0.500,0.000,0.500,0.349,0.459,67.347
M. Gajić,lb,4,0.657,0.545,0.000,0.583,0.917,0.343,72.266
R. Danzé,lb,11,0.720,0.462,0.000,0.619,0.745,0.280,72.207
F. Pogba,rb,5,0.625,0.583,0.200,0.588,0.737,0.375,72.524
V. Nogueira,cdm,2,0.639,0.500,0.000,0.700,0.000,0.361,70.177
S. Baradji,rcm,1,0.619,0.500,0.000,0.700,1.000,0.381,71.782
O. Verdon,lb,1,0.571,0.500,0.000,0.700,1.000,0.429,71.595
B. Ketkeophomphone,lw,13,0.560,0.455,0.000,0.500,0.414,0.440,64.862
N. Cozza,rb,9,0.624,0.357,0.000,0.579,0.483,0.376,66.962
A. Gouiri,lw,6,0.583,0.500,0.000,0.700,0.000,0.417,66.905
M. Zeffane,cb,15,0.667,0.357,0.067,0.440,0.591,0.333,67.832
Y. Gourcuff,cam,10,0.779,0.462,0.000,0.733,0.778,0.221,74.100
A. Soumaoro,cb,14,0.896,0.417,0.000,0.636,0.917,0.104,78.128
A. Ribelin,lcm,1,0.807,0.455,0.000,0.700,1.000,0.193,72.423
S. Coulibaly,cb,1,0.643,0.455,0.000,0.636,1.000,0.357,71.756
Vagner,cam,4,0.533,0.500,0.250,0.583,0.031,0.467,68.550
E. Taha,rw,2,0.600,0.500,0.000,0.636,0.529,0.400,70.784
Z. Youssouf,lam,5,0.639,0.455,0.000,0.636,0.582,0.361,70.095
K. N'Doram,cdm,10,0.850,0.385,0.000,0.700,0.860,0.150,75.216
K. Trapp,gk,4,0.756,0.500,0.000,0.700,0.806,0.244,73.016
Y. Armougom,rb,3,0.500,0.500,0.000,0.750,0.000,0.500,68.098
L. Puyo,cm,8,0.730,0.500,0.125,0.667,0.851,0.270,74.318
S. Ngom,lw,12,0.583,0.500,0.083,0.538,0.584,0.417,68.480
A. Oukidja,gk,17,0.752,0.500,0.000,0.700,0.674,0.248,73.750
T. Carrique,lb,1,0.676,0.500,0.000,0.667,1.000,0.324,71.998
J. Palmieri,rb,15,0.656,0.400,0.200,0.500,0.703,0.344,70.571
V. Selimovic,lb,13,0.820,0.500,0.000,0.636,0.859,0.180,76.620
M. Poundjé,rb,19,0.622,0.412,0.316,0.547,0.690,0.378,70.759
J. Prior,gk,2,0.657,0.500,0.000,0.700,0.778,0.343,71.686
J. Moulin,gk,5,0.671,0.500,0.000,0.700,0.897,0.329,72.260
L. Bonnefoi,gk,4,0.735,0.500,0.000,0.700,0.857,0.265,72.900
G. Gope-Fenepej,st,3,0.545,0.500,0.000,0.700,0.000,0.455,68.534
V. Rüfli,rb,3,0.609,0.500,0.000,0.700,0.529,0.391,70.519
S. Nsoki,rb,1,0.680,0.500,0.000,0.700,1.000,0.320,72.022
B. Samba,gk,4,0.656,0.500,0.000,0.700,0.782,0.344,71.622
G. Mandjeck,rcm,14,0.685,0.294,0.000,0.636,0.706,0.315,68.121
D. Miličević,ram,12,0.618,0.333,0.083,0.576,0.705,0.382,67.750
L. Butelle,gk,19,0.727,0.500,0.000,0.700,0.860,0.273,74.532
J. Bouet,gk,1,0.613,0.500,0.000,0.700,1.000,0.387,71.758
W. Cyprien,cdm,15,0.832,0.500,0.067,0.533,0.849,0.168,77.707
H. Bedimo,rb,3,0.655,0.500,0.000,0.700,0.818,0.345,71.730
R. Berič,lw,15,0.559,0.500,0.000,0.700,0.125,0.441,63.426
J. Koundé,lb,18,0.825,0.360,0.000,0.636,0.876,0.175,75.098
P. Baysse,cb,23,0.819,0.412,0.000,0.636,0.733,0.181,75.054
S. Mendoza,rw,13,0.613,0.400,0.000,0.500,0.657,0.387,67.215
P. Oniangué,lam,14,0.731,0.455,0.071,0.727,0.615,0.269,72.490
T. Stavitski,lam,9,0.500,0.500,0.222,0.391,0.060,0.500,64.843
Y. N'Gbakoto,st,15,0.485,0.385,0.000,0.500,0.242,0.515,59.451
T. Giresse,lam,3,0.636,0.500,0.000,0.727,1.000,0.364,72.011
Y. M'Vila,rcm,17,0.822,0.286,0.059,0.625,0.921,0.178,74.478
E. Massouema,cdm,6,0.700,0.545,0.167,0.700,0.393,0.300,72.097
Q. Beunardeau,gk,1,0.688,0.500,0.000,0.700,1.000,0.312,72.052
F. Boulaya,ram,7,0.694,0.455,0.000,0.667,0.489,0.306,70.344
Pablo,cb,15,0.840,0.545,0.000,0.700,0.794,0.160,78.088
R. Coly,rb,7,0.753,0.417,0.143,0.706,0.877,0.247,73.925
P. Ntep,ram,18,0.577,0.333,0.056,0.500,0.472,0.423,63.022
R. Perraud,lb,1,0.619,0.500,0.000,0.700,1.000,0.381,71.782
E. Zelazny,gk,17,0.845,0.500,0.000,0.700,0.907,0.155,78.717
K. Dabila,cb,12,0.773,0.357,0.083,0.692,0.758,0.227,73.072
N. Subotić,cb,19,0.817,0.533,0.053,0.583,0.880,0.183,78.766
Gabriel,rb,1,0.692,0.500,0.000,0.700,1.000,0.308,72.071
M. Debuchy,lb,15,0.626,0.333,0.133,0.533,0.711,0.374,67.940
L. Diarra,cm,10,0.873,0.429,0.000,0.700,0.934,0.127,76.867
S. Sy,gk,3,0.638,0.500,0.000,0.700,0.864,0.362,71.668
M. Braithwaite,st,18,0.631,0.500,0.000,0.500,0.320,0.369,66.190
J. Reine-Adelaide,lam,10,0.750,0.500,0.000,0.700,0.773,0.250,73.800
L. Mothiba,st,14,0.652,0.545,0.000,0.700,0.698,0.348,71.467
D. Contento,rb,3,0.618,0.455,0.000,0.700,0.721,0.382,70.828
P. Pellegri,st,6,0.645,0.500,0.167,0.727,0.655,0.355,71.818
J. Kayembe,lam,3,0.577,0.545,0.000,0.615,0.000,0.423,69.059
B. Mbeumo,rw,4,0.538,0.500,0.000,0.700,0.000,0.462,67.590
D. Lempereur,rb,3,0.516,0.455,0.000,0.727,0.567,0.484,69.401
M. Gorgelin,gk,4,0.738,0.500,0.000,0.700,0.814,0.262,72.803
T. Weah,st,3,0.625,0.500,0.000,0.636,0.000,0.375,69.316
A. N'Dour,rb,5,0.629,0.500,0.200,0.700,0.328,0.371,70.463
Steven Fortès,rb,2,0.714,0.455,0.000,0.700,0.829,0.286,72.012
Pape Diop,rcm,1,0.619,0.500,0.000,0.700,1.000,0.381,71.782
M. Le Bihan,rw,6,0.621,0.500,0.000,0.615,0.647,0.379,70.232
M. Sylla,st,5,0.607,0.545,0.000,0.700,0.293,0.393,69.384
J. Serrano,rb,4,0.521,0.500,0.250,0.444,0.688,0.479,70.315
E. Loiodice,cm,4,0.717,0.455,0.000,0.700,0.823,0.283,72.228
Jordi Mboula,lw,3,0.560,0.500,0.000,0.615,0.717,0.440,70.409
A. Oyongo,rb,3,0.596,0.455,0.000,0.500,0.759,0.404,70.536
L. Goudiaby,lcm,2,0.621,0.500,0.000,0.700,1.000,0.379,71.807
K. Rimane,lb,1,0.652,0.500,0.000,0.700,1.000,0.348,71.913
Y. Adli,rcm,1,0.667,0.500,0.000,0.700,1.000,0.333,71.970
J. Porsan-Clemente,lw,1,0.567,0.500,0.000,0.571,1.000,0.433,71.536
K. Volland,st,31,0.611,0.471,0.194,0.375,0.610,0.389,68.468
K. Bellarabi,lam,24,0.597,0.500,0.167,0.524,0.527,0.403,68.214
S. Bender,rb,29,0.865,0.389,0.000,0.636,0.879,0.135,78.176
B. Leno,gk,33,0.858,0.462,0.000,0.700,0.899,0.142,80.327
Wendell,rb,26,0.772,0.421,0.308,0.588,0.852,0.228,78.393
S. Rudy,cm,26,0.881,0.421,0.038,0.579,0.765,0.119,78.482
C. Tolisso,cam,30,0.876,0.552,0.133,0.478,0.768,0.124,82.648
