playerId,name,category,best_fit_role,raw_best_fit_role
8221,J. Ward,df,lb,lcm
8989,J. Ward,md,lam,lam
8144,J. Ward-Prowse,md,lam,lam
224677,J. Weigl,md,cm,cm
110,J. Willems,df,rb,ram
8421,J. Williams,md,cam,cam
346159,J. Willock,md,rcm,rcm
7873,J. Wilshere,md,cam,cam
3535,J. de Guzmán,md,cm,cm
3349,J. dos Santos,md,ram,ram
101616,J. Ďurica,df,rb,rb
82359,J. Šural,fw,lw,lam
15781,Ja-Cheol Koo,md,cm,cm
299121,Jae-Sung Lee,md,lcm,lcm
396539,Jaime Sierra,md,cdm,cdm
3708,Jairo Samperio,md,cam,cam
247220,Jason,md,lam,lam
215265,Jaume,gk,gk,lcb
3534,Jaume Costa,df,rb,rcm
4361,Javi Castellano,md,cm,cm
4332,Javi Fuego,md,cm,cm
70120,Javi García,md,cdm,cdm
3806,Javi López,df,lb,lcm
3436,Javi Manquillo,df,rcb,rcm
3416,Javi Martínez,md,cm,cm
408293,Javi Ontiveros,md,lam,lam
263766,Jemerson,df,rb,rb
3326,Jesé Rodríguez,fw,rs,ram
3557,Jesús Gámez,df,rb,ram
3474,Jesús Navas,md,lam,lam
282441,Jesús Vallejo,df,lcb,lcb
247207,Joan Jordán,md,cam,cam
3571,Joaquín,md,cam,cam
279571,Jon Bautista,fw,st,cam
279566,Jon Guridi,md,ram,ram
48318,Jonathan Cafu,fw,rs,ram
4379,Jonathan Viera,md,cam,cam
20728,Jonathas,fw,rs,cam
4424,Jonny,df,rb,rcm
6684,Jony,md,ram,ram
49862,Joo-Ho Park,df,rb,ram
3269,Jordi Alba,df,rb,ram
3788,Jordi Amat,df,rcb,cdm
405977,Jordi Mboula,fw,ls,lam
300784,Jorge,df,rb,rcm
275384,Jorge Meré,df,lcb,cdm
3605,Jorge Molina,fw,st,cam
21315,Jorginho,md,rcm,rcm
3327,Joselu,fw,st,cam
339857,José Arnáiz,fw,rw,ram
3313,José Callejón,fw,lw,lam
8126,José Fonte,df,lcb,cdm
4892,José Gayá,df,rb,rcm
225089,José Luis Morales,md,cam,cam
265807,José Naranjo,fw,rw,ram
20436,José Ángel,df,rb,ram
4911,Jozabed,md,rcm,rcm
135903,João Cancelo,df,lb,lam
3431,João Miranda,df,rcb,cdm
70093,João Moutinho,md,cm,cm
70965,João Mário,md,cam,cam
116171,João Pedro,md,cam,cam
3281,Juan Bernat,df,rb,ram
3468,Juan Cala,df,rcb,cdm
568583,Juan Cruz,fw,lw,lam
20518,Juan Jesus,df,rb,cdm
7906,Juan Mata,md,lam,lam
3325,Juanfran,df,lb,lam
3447,Juanfran,df,lb,lam
3735,Juankar,df,rb,rcm
3576,Juanmi,fw,rw,ram
4360,Juanpe,df,rcb,cdm
5791,Juanpi,md,cam,cam
388832,Julio Gracia,md,lam,lam
14866,Jurado,md,cam,cam
27354,Júlio Tavares,fw,st,cam
25957,K. Adénon,df,rcb,rcb
134392,K. Akpoguma,df,lb,cdm
352986,K. Amian,df,lcb,lcm
79149,K. Ansarifard,fw,rw,ram
20588,K. Asamoah,md,ram,ram
28866,K. Azamoum,md,lcm,lcm
3710,K. Babacar,fw,st,cam
61979,K. Bartley,df,lcb,lcb
14786,K. Bellarabi,md,lam,lam
3321,K. Benzema,fw,rs,cam
20402,K. Boateng,md,cam,cam
289827,K. Bonifazi,df,lcb,cdm
29625,K. Boutaïb,fw,rs,cam
26665,K. Bérigaud,fw,st,cam
15795,K. Casteels,gk,gk,cb
21235,K. Cissé,fw,rw,ram
231139,K. Coman,fw,rs,ram
25444,K. Coulibaly,fw,st,cam
372904,K. Dabila,df,lcb,cdm
366217,K. Danso,df,lb,lb
8826,K. Darlow,gk,gk,lcb
38021,K. De Bruyne,md,cam,cam
221333,K. Demirbay,md,cm,cm
25523,K. Djidji,df,rcb,cdm
281254,K. Dolberg,fw,st,cam
244335,K. Dolly,fw,rs,ram
142,K. El Ahmadi,md,cm,cm
25445,K. Gameiro,fw,st,cam
7853,K. Gibbs,df,rb,rcm
21097,K. Glik,df,lb,lb
33032,K. Grosicki,md,ram,ram
14992,K. Guédé,fw,ls,lcm
425925,K. Havertz,md,lam,lam
279721,K. Hinds,fw,rs,rcm
101592,K. Honda,md,lam,lam
285508,K. Iheanacho,fw,ls,cam
391449,K. Jakob,df,rcb,cdm
50771,K. Johnsson,gk,gk,cb
16110,K. Kampl,md,lcm,lcm
165431,K. Karaman,fw,rs,cam
6292,K. Kodro,fw,st,cam
25726,K. Koulibaly,df,rb,rcm
25408,K. Källström,md,rcm,rcm
62001,K. Lafferty,fw,st,cam
282804,K. Laimer,md,lcm,lcm
26498,K. Lala,df,lcb,lcm
333913,K. Lasagna,fw,st,cam
138174,K. Linetty,md,ram,ram
10108,K. Long,df,lcb,cdm
144867,K. Malcuit,df,lb,lam
25641,K. Mangane,df,lb,cdm
92966,K. Manolas,df,lb,cdm
413002,K. Mavropanos,df,rb,cdm
353833,K. Mbappé,fw,ls,cam
92922,K. Mirallas,md,cam,cam
93331,K. Mitroglou,fw,st,cam
26042,K. Monnet-Paquet,fw,rs,ram
99446,K. Mączyński,md,cm,cm
133897,K. N'Diaye,gk,gk,lcb
331923,K. N'Doram,md,cdm,cdm
8336,K. Naughton,df,lb,lcm
3915,K. Navas,gk,gk,cb
354,K. Németh,fw,rw,ram
12,K. Omeruo,df,rb,rb
66654,K. Onisiwo,md,lcm,lcm
279709,K. Palmer,md,cam,cam
14857,K. Papadopoulos,df,lcb,cdm
15039,K. Rausch,df,rb,rcm
8309,K. Rekik,df,rcb,cdm
26603,K. Rimane,df,lb,lb
101813,K. Saláta,df,rcb,rcb
8480,K. Schmeichel,gk,gk,lcb
66,K. Sigþórsson,fw,ls,cam
366374,K. Soni,md,cam,cam
92947,K. Stafylidis,df,rb,rcm
114,K. Strootman,md,rcm,rcm
1712,K. Tete,df,lb,lam
25643,K. Théophile Catherine,df,lcb,cdm
26638,K. Toko Ekambi,fw,rs,cam
15062,K. Trapp,gk,gk,rcb
8945,K. Trippier,df,lb,lam
14842,K. Vogt,df,lcb,cdm
15231,K. Volland,fw,st,cam
8277,K. Walker,df,lb,lam
402884,K. Walker-Peters,df,lb,lam
125575,K. Waston,df,rb,rcm
65254,K. Wimmer,df,rb,rb
493415,K. Zohi,fw,lw,lw
25854,K. Zouma,df,lcb,cdm
62221,K. Árnason,df,lcb,cdm
21894,Keko,md,lam,lam
254898,Kenedy,md,ram,ram
3874,Kike García,fw,st,cam
3785,Kiko Casilla,gk,gk,cb
3351,Kiko Femenía,df,lb,lam
278316,Koke,gk,gk,cdm
3443,Koke,md,cm,cm
256084,Kwon Chang-Hoon,md,lam,lam
209012,Kévin Rodrigues,df,rb,ram
114709,L. Advíncula,df,lb,lcm
86489,L. Alario,fw,st,cam
21872,L. Antei,df,lb,lb
21272,L. Antonelli,df,rb,ram
51217,L. Augustinsson,df,rb,ram
25625,L. Baal,df,rb,ram
388267,L. Bailey,fw,st,cam
8239,L. Baines,df,rb,rcm
16443,L. Balogun,df,lb,cdm
14781,L. Bender,md,lcm,lcm
37732,L. Biglia,md,cm,cm
15317,L. Bittencourt,md,ram,ram
340920,L. Blas,md,cm,cm
