eventName,subEventName,startX,startY,endX,endY,tags
Pass,Launch,24,56,24,68,1802
Duel,Ground defending duel,67,63,70,66,"702, 1801"
Duel,Ground attacking duel,59,34,54,39,"702, 1801"
Duel,Ground attacking duel,54,39,44,55,"702, 1801"
Duel,Ground loose ball duel,51,51,46,54,"1601, 701, 1802"
Free Kick,Free kick cross,76,92,90,36,"302, 801, 1801"
Duel,Ground defending duel,13,68,6,76,"501, 701, 1802"
Pass,High pass,27,41,52,92,1802
Duel,Ground defending duel,39,44,41,49,"702, 1801"
Pass,Simple pass,13,31,39,48,1802
Pass,Simple pass,68,47,79,90,1801
Pass,Simple pass,30,17,30,33,1801
Pass,Simple pass,26,93,22,97,1801
Pass,High pass,61,94,98,91,1801
Free Kick,Corner,100,100,88,49,"801, 1801"
Others on the ball,Clearance,12,44,29,2,"1401, 1802"
Pass,Simple pass,52,86,65,95,1802
Pass,Simple pass,45,35,37,18,1801
Shot,Shot,73,58,0,0,"402, 1212, 1802"
Pass,High pass,69,73,88,33,1802
Duel,Ground defending duel,49,35,49,50,"501, 701, 1802"
Duel,Ground defending duel,88,78,85,100,"501, 1601, 702, 1801"
Pass,Simple pass,66,91,79,77,1801
Duel,Air duel,30,27,22,8,"701, 1802"
Duel,Ground defending duel,64,70,40,94,"501, 1601, 701, 1802"
Others on the ball,Touch,33,96,28,100,1401
Pass,Head pass,12,67,14,88,1801
Free Kick,Corner,100,0,91,50,"801, 1802"
Pass,Simple pass,49,42,47,47,1802
Pass,Simple pass,64,22,63,42,1801
Pass,Simple pass,63,42,57,83,1801
Duel,Ground attacking duel,66,36,69,30,"703, 1801"
Pass,Simple pass,69,30,83,4,1801
Pass,Simple pass,56,31,64,70,1801
Pass,Simple pass,68,64,61,69,1802
Duel,Ground defending duel,61,69,61,72,"503, 701, 1802"
Pass,Simple pass,48,40,59,31,1801
Pass,Simple pass,44,33,25,75,1801
Pass,Simple pass,58,58,51,71,1801
Pass,Simple pass,56,77,45,43,1801
Duel,Ground defending duel,53,63,54,78,"501, 701, 1802"
Duel,Ground attacking duel,62,40,57,37,"701, 1802"
Duel,Ground defending duel,57,37,51,36,"701, 1802"
Foul,Foul,51,36,57,37,
Others on the ball,Touch,30,72,32,58,1401
Pass,Simple pass,68,68,56,70,1801
Pass,High pass,68,32,88,48,"901, 1802"
Duel,Ground attacking duel,56,53,54,70,"501, 702, 1801"
Duel,Ground loose ball duel,54,70,61,72,"701, 1802"
Duel,Ground defending duel,48,58,31,58,"501, 701, 1802"
Others on the ball,Clearance,13,58,37,69,"1401, 1801"
Others on the ball,Clearance,13,47,66,69,1802
Pass,Simple pass,80,30,75,31,1801
Pass,Simple pass,79,26,68,33,1801
Pass,Simple pass,71,66,59,73,1801
Pass,Smart pass,68,84,100,77,"901, 1802"
Duel,Ground attacking duel,34,22,38,25,"703, 1801"
Duel,Ground loose ball duel,23,57,26,51,"1601, 702, 1801"
Duel,Ground loose ball duel,26,51,27,49,"701, 1802"
Pass,Simple pass,36,63,29,46,1801
Pass,Simple pass,75,28,84,14,1801
Pass,Simple pass,59,30,46,44,1801
Pass,Simple pass,39,21,63,22,1801
Pass,Simple pass,43,64,29,59,1801
Pass,High pass,40,53,80,18,1802
Free Kick,Corner,100,0,93,53,"801, 1801"
Pass,Cross,82,23,90,40,"402, 1802"
Duel,Ground defending duel,63,34,32,43,"504, 701, 1802"
Duel,Ground defending duel,39,65,43,75,"701, 1802"
Foul,Foul,43,75,39,65,
Pass,Simple pass,48,54,61,88,1801
Pass,Simple pass,47,65,56,29,1801
Pass,Simple pass,53,65,36,87,1801
Pass,High pass,79,63,92,31,1801
Pass,Simple pass,65,60,67,70,1801
Pass,Simple pass,77,77,73,68,1801
Pass,Simple pass,64,78,77,67,1801
Pass,Simple pass,68,81,72,39,1801
Pass,Simple pass,25,75,24,63,1801
Free Kick,Free kick cross,64,36,90,58,"801, 1801"
Duel,Air duel,46,52,41,64,"703, 1801"
Duel,Ground loose ball duel,41,64,53,86,"701, 1802"
Duel,Ground defending duel,65,64,35,36,"701, 1802"
Foul,Foul,63,66,65,64,
Duel,Ground defending duel,27,71,73,29,"702, 1801"
Pass,Simple pass,38,66,34,42,1801
Pass,Simple pass,33,63,32,51,1801
Pass,Simple pass,33,63,44,90,1801
Pass,Simple pass,33,69,25,34,1801
Pass,Simple pass,48,28,42,33,1801
Pass,Simple pass,70,42,73,30,1801
Pass,Simple pass,68,43,69,96,1801
Pass,High pass,66,80,92,92,1801
Others on the ball,Touch,31,94,33,100,1401
Pass,Head pass,32,32,45,35,1802
Pass,Simple pass,31,46,35,60,1802
Free Kick,Corner,100,100,90,52,"801, 1802"
Free Kick,Free kick cross,63,62,90,39,"801, 1801"
Pass,Simple pass,66,44,73,97,1801
Others on the ball,Touch,77,93,93,92,1401
Others on the ball,Touch,95,95,100,87,1401
Duel,Ground attacking duel,36,26,32,23,"702, 1801"
Pass,Simple pass,32,23,27,7,1801
Pass,Simple pass,66,88,72,98,1801
Pass,Simple pass,27,81,10,75,1801
Shot,Shot,75,52,100,100,"402, 201, 1212, 1802"
Pass,Simple pass,60,36,66,78,1802
Duel,Ground defending duel,49,28,48,28,"701, 1802"
Duel,Air duel,31,65,22,56,"701, 1802"
Duel,Ground attacking duel,71,41,66,41,"701, 1802"
Duel,Ground defending duel,5,34,7,44,"501, 1601, 703, 1801"
Free Kick,Corner,100,0,80,60,"801, 1802"
Pass,Simple pass,45,24,34,11,1801
Pass,Simple pass,47,30,38,39,1801
Pass,Simple pass,48,23,60,9,1801
Pass,High pass,45,19,82,40,1801
Duel,Ground attacking duel,58,21,56,31,"702, 1801"
Pass,Simple pass,56,31,42,91,1801
Pass,Simple pass,71,61,73,53,1801
Free Kick,Free kick shot,75,51,100,100,"402, 1101, 201, 1215, 1802"
Others on the ball,Touch,61,23,65,18,
Duel,Ground loose ball duel,65,18,68,19,"701, 1802"
Duel,Ground defending duel,68,19,61,20,"701, 1802"
Duel,Ground attacking duel,74,19,66,27,"1401, 503, 703, 1801"
Pass,Simple pass,74,10,66,7,1801
Pass,Simple pass,63,60,56,91,1801
Duel,Ground attacking duel,66,10,34,90,"702, 1801"
Pass,Simple pass,66,63,45,45,1801
Pass,Simple pass,70,26,82,13,1802
Free Kick,Corner,100,100,10,45,"801, 1801"
Duel,Ground defending duel,76,55,24,45,"701, 1802"
Pass,Simple pass,43,23,44,43,1801
Pass,High pass,36,35,82,20,"901, 1802"
Pass,High pass,54,41,67,94,1801
Pass,Simple pass,63,77,33,74,1801
Pass,Simple pass,40,30,52,74,1801
Pass,Simple pass,62,77,46,60,1801
Pass,Simple pass,75,60,63,55,1801
Shot,Shot,73,59,0,0,"402, 2101, 1802"
Pass,High pass,68,51,94,42,"901, 1802"
Others on the ball,Touch,37,11,39,33,
Pass,Simple pass,39,33,33,49,1801
Pass,Simple pass,64,85,73,71,1802
Pass,Simple pass,68,96,58,86,1801
Pass,Simple pass,41,64,71,94,1801
Pass,Simple pass,64,72,64,85,1802
Pass,Simple pass,39,66,38,59,1801
Pass,Simple pass,63,62,58,77,1801
Pass,Simple pass,55,70,43,81,1801
Pass,Simple pass,47,68,55,35,1801
Free Kick,Corner,100,100,88,48,"801, 1801"
Pass,Simple pass,89,99,80,89,1801
Free Kick,Free kick cross,65,77,91,33,"801, 1801"
Free Kick,Corner,100,0,92,60,"801, 1801"
Pass,Cross,76,17,89,60,"402, 801, 1801"
Free Kick,Corner,100,100,90,47,"801, 1801"
Others on the ball,Touch,37,80,61,92,
Duel,Ground attacking duel,61,92,51,100,"702, 1801"
Others on the ball,Touch,25,45,27,42,1401
Pass,Simple pass,27,42,29,58,1801
Duel,Ground attacking duel,61,29,43,20,"702, 1801"
Pass,Simple pass,43,20,56,67,1801
Pass,Simple pass,72,31,85,14,1801
Pass,Simple pass,57,29,63,10,1801
Pass,Simple pass,50,48,46,58,1801
Pass,Simple pass,59,21,73,22,1801
Pass,Simple pass,62,68,58,78,1801
Pass,High pass,40,69,73,72,"901, 1802"
Pass,Simple pass,57,71,63,69,1801
Pass,Simple pass,67,76,67,96,1802
Duel,Ground defending duel,59,51,70,63,"504, 703, 1801"
Pass,Simple pass,70,63,86,69,1801
