eventName,subEventName,startX,startY,endX,endY,tags
Pass,Simple pass,72,76,69,88,1801
Pass,Simple pass,72,82,66,73,1802
Duel,Ground attacking duel,65,23,61,21,"503, 703, 1801"
Others on the ball,Acceleration,61,21,78,24,1802
Pass,Smart pass,82,49,97,63,"901, 1801"
Duel,Ground attacking duel,60,7,59,13,"501, 703, 1801"
Duel,Ground attacking duel,59,13,65,18,"703, 1801"
Duel,Ground attacking duel,65,18,78,38,"503, 703, 1801"
Duel,Ground attacking duel,78,38,82,51,"504, 703, 1801"
Duel,Ground attacking duel,82,51,86,58,"501, 703, 1801"
Shot,Shot,86,58,0,0,"101, 402, 201, 1205, 1801"
Free Kick,Corner,100,0,85,36,"801, 1802"
Others on the ball,Touch,59,11,78,34,
Pass,Simple pass,78,34,92,32,"301, 1801"
Pass,Simple pass,53,50,57,39,1801
Duel,Ground attacking duel,65,32,64,43,"501, 703, 1801"
Pass,Smart pass,64,43,71,43,1801
Pass,Smart pass,79,26,96,36,"901, 1802"
Pass,Simple pass,71,19,75,29,"1401, 1801"
Pass,Smart pass,75,43,94,37,"901, 1802"
Duel,Ground attacking duel,77,43,78,44,"501, 703, 1801"
Shot,Shot,78,44,0,0,"402, 2101, 201, 1802"
Pass,Simple pass,87,89,78,77,1801
Pass,Simple pass,80,87,68,75,1801
Shot,Shot,83,63,0,0,"402, 201, 1216, 1802"
Free Kick,Penalty,89,49,92,38,"101, 402, 1205, 1801"
Pass,High pass,75,52,79,51,"901, 1802"
Pass,Simple pass,53,51,64,31,1801
Pass,Simple pass,69,47,74,60,1801
Pass,Simple pass,66,24,68,35,1801
Duel,Ground loose ball duel,72,26,61,23,"703, 1801"
Pass,Simple pass,80,19,94,25,1801
Duel,Ground attacking duel,79,31,73,36,"702, 1801"
Duel,Ground attacking duel,73,36,80,23,"504, 703, 1801"
Duel,Ground attacking duel,80,25,78,27,"501, 703, 1801"
Pass,Cross,78,27,88,55,"402, 801, 1802"
Duel,Ground defending duel,83,3,81,12,"703, 1801"
Pass,Simple pass,81,12,81,21,1801
Shot,Shot,90,30,0,0,"402, 201, 1201, 1801"
Others on the ball,Touch,45,9,36,38,
Pass,High pass,36,38,33,97,1801
Others on the ball,Touch,55,25,58,50,
Duel,Ground attacking duel,58,50,62,47,"503, 703, 1801"
Duel,Ground attacking duel,37,7,37,8,"703, 1801"
Free Kick,Free Kick,42,13,31,24,1801
Pass,Smart pass,65,43,98,26,"901, 1802"
Duel,Ground defending duel,43,18,36,23,"701, 1802"
Foul,Foul,36,23,43,18,
Duel,Ground defending duel,38,34,33,42,"701, 1802"
Foul,Foul,33,42,38,34,
Duel,Ground attacking duel,48,10,41,17,"702, 1801"
Duel,Ground attacking duel,41,17,31,60,"702, 1801"
Pass,High pass,31,60,82,76,"901, 1802"
Duel,Ground attacking duel,70,34,73,28,"703, 1801"
Pass,Simple pass,90,12,99,36,1801
Pass,High pass,44,33,79,64,"302, 901, 1802"
Free Kick,Corner,100,100,93,60,"801, 1801"
Duel,Ground defending duel,77,75,72,82,"701, 1802"
Pass,Simple pass,40,11,33,15,1801
Pass,Head pass,71,99,58,91,1801
Pass,Simple pass,57,78,66,77,1801
Duel,Ground attacking duel,69,59,71,71,"703, 1801"
Duel,Ground attacking duel,71,71,79,36,"503, 703, 1801"
Pass,Smart pass,79,36,86,25,"901, 1802"
Pass,Simple pass,61,33,44,48,1801
Pass,Simple pass,67,61,77,70,1801
Duel,Ground attacking duel,65,68,66,60,"703, 1801"
Pass,Simple pass,62,67,68,79,1801
Pass,Simple pass,64,13,46,5,1801
Others on the ball,Touch,52,25,54,57,
Pass,Simple pass,54,57,70,59,1802
Duel,Ground attacking duel,49,10,31,10,"702, 1801"
Others on the ball,Touch,67,23,73,21,
Duel,Ground defending duel,73,21,79,16,"702, 1801"
Pass,Simple pass,67,75,53,82,1801
Duel,Ground attacking duel,77,22,78,12,"503, 703, 1801"
Duel,Ground attacking duel,82,33,86,28,"502, 702, 1801"
Duel,Ground loose ball duel,86,28,87,28,"701, 1802"
Duel,Ground attacking duel,63,21,59,39,"702, 1801"
Pass,Simple pass,59,39,57,86,1801
Duel,Ground attacking duel,53,23,33,0,"602, 702, 1801"
Duel,Ground attacking duel,61,6,56,54,"702, 1801"
Pass,Simple pass,56,54,53,98,1801
Free Kick,Penalty,90,53,89,46,"101, 402, 1205, 1801"
Pass,Cross,82,19,91,48,"402, 801, 1802"
Duel,Ground attacking duel,68,15,72,15,"703, 1801"
Duel,Ground attacking duel,72,15,66,10,"702, 1801"
Pass,Simple pass,66,10,53,12,1801
Pass,Simple pass,79,37,60,33,1801
Duel,Ground attacking duel,90,49,89,60,"501, 703, 1801"
Shot,Shot,89,60,0,0,"402, 201, 1201, 1801"
Pass,Simple pass,45,41,42,17,1801
Pass,High pass,47,45,86,61,"901, 1802"
Pass,Simple pass,67,37,59,29,1801
Duel,Ground attacking duel,43,16,28,17,"702, 1801"
Pass,Simple pass,28,17,37,30,1801
Duel,Ground attacking duel,53,27,55,31,"504, 703, 1801"
Pass,Simple pass,55,27,56,34,1802
Duel,Ground defending duel,59,33,54,41,"701, 1802"
Duel,Ground attacking duel,68,20,71,22,"504, 701, 1802"
Duel,Ground defending duel,71,22,70,38,"504, 703, 1801"
Duel,Ground defending duel,46,18,48,22,"701, 1802"
Foul,Foul,48,22,46,18,
Duel,Ground attacking duel,51,14,55,25,"602, 701, 1802"
Pass,Simple pass,47,13,48,23,1801
Pass,Simple pass,74,87,87,94,1801
Duel,Ground attacking duel,83,94,79,88,"702, 1801"
Pass,Simple pass,79,88,66,83,1801
Pass,Simple pass,51,3,35,7,1801
Pass,Simple pass,45,47,34,59,1801
Pass,Simple pass,23,58,42,92,1801
Duel,Ground attacking duel,57,83,62,98,"703, 1801"
Pass,Simple pass,42,49,40,29,1801
Others on the ball,Touch,89,40,89,46,
Foul,Hand foul,89,46,0,0,
Offside,,68,71,0,0,
Duel,Ground attacking duel,44,3,52,6,"503, 701, 1802"
Shot,Shot,97,47,0,0,"101, 401, 201, 1201, 1801"
Others on the ball,Touch,63,11,57,16,1302
Others on the ball,Touch,46,61,45,30,1301
Others on the ball,Touch,55,52,68,28,
Pass,Simple pass,68,28,66,14,1801
Others on the ball,Touch,41,21,38,34,1301
Pass,Simple pass,64,4,65,28,1801
Pass,Simple pass,56,4,37,4,1801
Pass,Simple pass,76,89,65,87,1801
Pass,Simple pass,62,26,65,35,1802
Pass,Simple pass,76,15,77,4,1801
Duel,Ground defending duel,65,47,52,40,"503, 701, 1802"
Duel,Ground attacking duel,96,10,86,33,"501, 703, 1801"
Shot,Shot,86,33,100,100,"402, 201, 1216, 1802"
Pass,Cross,74,10,88,54,"402, 801, 1802"
Pass,Simple pass,81,6,73,11,1801
Pass,Smart pass,73,11,92,27,1801
Pass,Simple pass,69,17,78,50,1801
Pass,Simple pass,40,22,61,48,1801
Pass,Smart pass,75,22,75,20,1802
Pass,Simple pass,97,5,72,19,1801
Duel,Ground attacking duel,89,20,81,6,"702, 1801"
Duel,Ground attacking duel,70,28,49,31,"503, 703, 1801"
Duel,Ground attacking duel,71,9,69,9,"702, 1801"
Pass,Simple pass,69,16,58,14,1801
Pass,High pass,66,21,88,58,"901, 1801"
Duel,Ground attacking duel,60,8,63,5,"703, 1801"
Pass,Simple pass,65,23,62,20,1801
Pass,Simple pass,63,30,63,15,1801
Pass,Simple pass,20,22,20,14,1801
Pass,Simple pass,41,25,65,62,"1401, 1801"
Pass,Simple pass,62,30,38,38,1801
Others on the ball,Touch,70,49,82,35,1301
Duel,Ground attacking duel,81,53,79,43,"504, 602, 703, 1801"
Pass,Simple pass,79,41,92,21,1801
Duel,Ground attacking duel,62,20,55,47,"702, 1801"
Pass,Simple pass,41,22,58,30,1801
Others on the ball,Acceleration,59,24,79,43,1801
Pass,Simple pass,79,43,93,25,1801
Pass,Simple pass,63,21,86,10,1801
Free Kick,Corner,100,0,81,74,"302, 801, 1801"
Duel,Ground attacking duel,54,34,75,16,"502, 703, 1801"
Pass,Simple pass,75,16,89,14,1801
Pass,Smart pass,71,18,94,28,1802
Pass,Head pass,61,13,66,51,1802
Pass,Head pass,61,56,61,38,1801
Pass,Simple pass,67,27,70,38,1801
Pass,Simple pass,37,27,63,20,1801
Pass,Simple pass,68,60,65,28,1801
Pass,Smart pass,77,83,85,79,"901, 1801"
Pass,Simple pass,62,15,69,23,1801
Duel,Ground attacking duel,64,24,68,30,"703, 1801"
Duel,Ground defending duel,69,19,56,26,"504, 701, 1802"
Duel,Ground attacking duel,71,26,77,27,"703, 1801"
Pass,Simple pass,77,27,79,28,1802
Duel,Ground attacking duel,87,35,87,47,"501, 703, 1801"
Shot,Shot,87,47,100,100,"402, 2101, 1802"
Pass,Simple pass,64,17,71,24,1801
Pass,Smart pass,63,34,77,25,"901, 1802"
Pass,Simple pass,66,20,66,22,1801
Pass,Smart pass,72,23,89,39,1801
Pass,Simple pass,90,34,89,36,1802
Duel,Ground attacking duel,77,16,80,28,"504, 701, 1802"
Others on the ball,Touch,22,80,43,91,1901
Pass,Simple pass,43,91,74,87,"1901, 1801"
Pass,Simple pass,93,67,93,66,1802
Pass,Simple pass,66,26,71,46,1801
Free Kick,Throw in,66,0,55,25,1801
Pass,Simple pass,69,7,36,9,1801
Others on the ball,Touch,57,3,43,23,
Pass,Simple pass,43,23,36,51,1801
Pass,Simple pass,57,46,39,71,1801
Pass,Simple pass,56,59,59,88,1801
