eventName,subEventName,startX,startY,endX,endY,tags
Pass,Simple pass,73,14,84,3,1801
Pass,Simple pass,41,27,60,3,1801
Pass,Simple pass,52,24,48,74,1801
Pass,Head pass,56,83,40,71,1801
Pass,Simple pass,62,28,70,30,1801
Pass,Simple pass,52,27,76,4,1801
Pass,Simple pass,70,35,90,5,1801
Pass,Simple pass,55,28,87,17,1801
Pass,Simple pass,41,34,49,71,1801
Others on the ball,Touch,42,20,57,29,
Pass,Simple pass,57,29,53,62,1801
Pass,Simple pass,93,96,85,84,1801
Pass,Simple pass,89,88,74,56,1801
Pass,Simple pass,73,90,82,93,1801
Pass,Simple pass,73,93,54,64,1801
Free Kick,Free Kick,16,1,25,21,1801
Pass,Simple pass,23,3,16,65,1801
Pass,Simple pass,44,38,42,74,1801
Pass,Simple pass,72,34,86,10,1801
Pass,Simple pass,75,18,92,8,1801
Pass,High pass,68,17,57,74,1801
Pass,Simple pass,54,28,62,25,1801
Pass,Simple pass,60,22,67,21,1801
Pass,Simple pass,63,20,95,13,1801
Pass,Simple pass,68,6,68,44,1801
Pass,High pass,59,34,78,3,1801
Pass,Simple pass,63,32,69,26,1801
Pass,Simple pass,28,16,27,6,1801
Pass,Simple pass,62,36,63,6,1801
Pass,Simple pass,55,43,61,30,1801
Pass,Simple pass,30,17,34,32,"1401, 1801"
Pass,Simple pass,23,46,28,51,1801
Pass,Simple pass,54,24,40,29,1801
Others on the ball,Touch,44,19,62,34,
Pass,High pass,62,34,76,85,1801
Pass,Simple pass,37,42,41,14,1801
Pass,Simple pass,52,24,64,23,1801
Pass,Simple pass,36,27,44,21,1801
Pass,High pass,43,33,55,87,1801
Duel,Ground defending duel,71,15,81,16,"504, 703, 1801"
Pass,Cross,81,16,0,0,"401, 2101, 1802"
Free Kick,Corner,100,0,95,45,"801, 1802"
Pass,Simple pass,56,35,65,48,1801
Duel,Ground loose ball duel,8,46,10,52,"703, 1801"
Others on the ball,Touch,35,56,45,47,
Pass,Simple pass,45,47,55,28,1801
Pass,Simple pass,34,38,47,21,1802
Pass,Simple pass,44,44,46,61,1801
Pass,Simple pass,41,25,36,25,1801
Pass,High pass,57,28,74,95,1801
Others on the ball,Touch,37,16,35,15,
Duel,Ground loose ball duel,35,15,20,0,"702, 1801"
Duel,Ground defending duel,15,3,11,2,"502, 701, 1802"
Pass,Simple pass,34,22,35,77,1801
Free Kick,Corner,100,0,91,7,1801
Pass,Simple pass,82,18,83,31,1801
Others on the ball,Touch,51,16,60,15,
Pass,Simple pass,60,15,66,21,1801
Pass,Simple pass,49,23,61,24,1801
Pass,High pass,60,26,69,88,1801
Pass,High pass,65,39,76,89,1801
Pass,Simple pass,56,36,67,35,1801
Pass,Simple pass,45,49,42,74,1801
Others on the ball,Touch,43,21,54,31,
Pass,Simple pass,54,31,59,95,1801
Pass,Simple pass,59,15,44,30,1801
Pass,Simple pass,54,23,68,12,1801
Pass,Simple pass,75,8,91,11,1801
Duel,Air duel,74,13,67,24,"702, 1801"
Pass,Simple pass,57,25,74,38,1801
Pass,High pass,72,21,79,82,1801
Others on the ball,Touch,64,40,74,38,
Pass,Simple pass,74,38,93,18,1801
Others on the ball,Touch,66,31,81,31,1401
Duel,Ground attacking duel,81,31,82,31,"501, 703, 1801"
Shot,Shot,82,31,0,0,"402, 2101, 201, 1802"
Free Kick,Corner,100,0,99,17,1801
Pass,Simple pass,93,14,80,33,1801
Pass,Cross,91,14,95,91,"401, 801, 1801"
Free Kick,Free kick cross,82,89,90,64,"302, 801, 1801"
Duel,Ground defending duel,48,25,55,23,"504, 703, 1801"
Pass,Simple pass,55,23,62,13,1801
Others on the ball,Touch,55,34,66,24,
Pass,Simple pass,66,24,76,45,1801
Pass,Simple pass,40,20,74,5,1801
Pass,Simple pass,63,9,75,28,1802
Duel,Ground loose ball duel,40,42,41,41,"703, 1801"
Pass,Simple pass,32,59,46,71,1801
Pass,Simple pass,58,38,71,6,1801
Pass,Simple pass,66,18,79,3,1801
Pass,Simple pass,32,31,31,43,1801
Pass,Simple pass,33,31,31,50,1801
Pass,Simple pass,68,8,70,5,1802
Free Kick,Throw in,69,0,59,20,1801
Duel,Ground defending duel,74,43,71,39,"501, 701, 1802"
Pass,Simple pass,16,13,11,7,1801
Others on the ball,Touch,44,28,62,32,
Pass,Simple pass,62,32,74,67,1801
Pass,Simple pass,46,29,45,61,1801
Pass,Simple pass,59,36,65,52,1801
Duel,Ground attacking duel,82,36,86,34,"502, 703, 1801"
Shot,Shot,86,34,0,0,"401, 2101, 1802"
Pass,Simple pass,66,53,59,53,1801
Pass,Smart pass,74,47,81,52,"901, 1802"
Others on the ball,Touch,54,27,66,33,
Pass,Simple pass,66,33,67,80,1801
Shot,Shot,78,45,0,0,"402, 2101, 201, 1802"
Free Kick,Corner,100,0,94,52,"801, 1802"
Pass,Simple pass,55,15,44,42,1801
Pass,Simple pass,69,9,83,6,1801
Pass,Simple pass,74,25,81,35,1801
Pass,High pass,78,23,99,77,1801
Pass,High pass,66,38,89,92,1801
Others on the ball,Touch,43,29,59,26,
Pass,Simple pass,59,26,46,46,1801
Pass,Head pass,42,6,47,3,1802
Pass,Simple pass,54,30,53,49,1802
Pass,Simple pass,57,36,66,52,1801
Pass,Simple pass,73,39,81,39,1801
Others on the ball,Touch,17,32,44,27,
Pass,Simple pass,44,27,56,24,1801
Free Kick,Free Kick,69,44,82,93,1801
Duel,Ground attacking duel,73,15,78,22,"504, 703, 1801"
Pass,Simple pass,78,22,78,40,1801
Others on the ball,Touch,87,39,88,35,1302
Pass,Simple pass,34,36,56,10,1801
Pass,Simple pass,46,21,65,4,1801
Pass,Simple pass,55,21,47,51,1801
Duel,Ground loose ball duel,62,9,58,9,"703, 1801"
Pass,Simple pass,61,6,56,21,1801
Pass,Simple pass,53,34,76,7,1801
Pass,Simple pass,69,14,69,6,1801
Pass,Simple pass,42,18,36,10,1802
Pass,Simple pass,53,35,50,71,1801
Others on the ball,Acceleration,46,26,71,19,1801
Pass,Simple pass,71,19,79,10,1801
Pass,Simple pass,67,34,74,12,1801
Duel,Ground defending duel,74,6,81,4,"503, 703, 1801"
Pass,Simple pass,90,19,80,36,1801
Pass,Cross,84,19,91,47,"302, 401, 801, 1801"
Pass,Simple pass,47,17,52,34,1801
Pass,Simple pass,62,15,89,11,1801
Free Kick,Free kick cross,89,9,95,53,"801, 1802"
Others on the ball,Touch,66,38,69,47,
Pass,Simple pass,79,34,79,39,1801
Pass,Simple pass,66,27,94,10,1801
Free Kick,Corner,100,0,96,15,1801
Pass,Simple pass,91,14,82,38,1801
Pass,High pass,52,45,77,92,1801
Pass,High pass,73,39,97,74,"901, 1801"
Others on the ball,Touch,46,28,67,24,
Pass,Simple pass,67,24,76,5,1801
Free Kick,Free kick shot,91,22,0,0,"101, 402, 1102, 201, 1206, 1801"
Pass,Simple pass,38,47,45,52,1801
Pass,Simple pass,37,52,26,64,1801
Pass,Simple pass,27,48,30,59,1801
Pass,Simple pass,29,36,39,47,1801
Pass,Simple pass,32,50,39,78,1801
Pass,Simple pass,46,53,58,81,1801
Pass,Simple pass,32,12,6,8,1801
Duel,Ground attacking duel,41,21,44,20,"502, 703, 1801"
Free Kick,Free Kick,34,22,46,25,1801
Pass,Simple pass,35,19,43,26,1801
Pass,Simple pass,41,29,60,31,1801
Pass,Simple pass,60,20,63,28,1801
Pass,Simple pass,47,47,54,57,1801
Pass,Simple pass,58,29,55,55,1801
Pass,Simple pass,70,20,55,69,1801
Pass,Simple pass,61,16,49,10,"2001, 1802"
Pass,Simple pass,35,27,40,34,1801
Pass,Simple pass,31,42,27,52,1801
Pass,Simple pass,36,32,62,8,1801
Duel,Ground attacking duel,72,23,78,18,"504, 703, 1801"
Pass,Simple pass,81,24,85,37,1802
Free Kick,Free kick cross,71,89,90,64,"801, 1802"
Pass,Simple pass,61,33,55,54,1801
Others on the ball,Touch,57,50,68,38,
Pass,Simple pass,68,38,68,22,1801
Free Kick,Corner,100,100,87,41,"801, 1801"
Free Kick,Corner,100,0,96,14,1801
Pass,Simple pass,90,10,71,29,1801
Pass,Simple pass,29,22,23,50,1801
Pass,Simple pass,70,19,68,30,1801
Duel,Ground attacking duel,29,21,29,13,"501, 703, 1801"
Free Kick,Free Kick,32,23,39,36,1801
Pass,Simple pass,35,23,44,28,1801
Free Kick,Free Kick,52,33,53,58,1801
Duel,Ground defending duel,44,52,47,55,"702, 1801"
Pass,Simple pass,61,38,68,94,1801
