eventName,subEventName,startX,startY,endX,endY,tags
Pass,Simple pass,64,37,75,32,1801
Duel,Ground attacking duel,11,55,11,56,"703, 1801"
Pass,Simple pass,46,29,67,69,1801
Pass,Simple pass,57,32,63,31,1801
Pass,High pass,61,18,85,16,1801
Pass,Simple pass,67,46,76,30,1801
Pass,Simple pass,6,8,7,16,"1401, 1801"
Pass,Simple pass,54,29,65,10,1801
Pass,Simple pass,57,13,68,26,1801
Pass,Simple pass,62,40,67,13,1801
Others on the ball,Touch,61,11,69,62,1401
Duel,Ground loose ball duel,7,22,0,0,"702, 1801"
Duel,Air duel,8,43,13,33,"703, 1801"
Others on the ball,Clearance,4,48,9,19,"1401, 1802"
Others on the ball,Clearance,5,62,26,100,"1401, 1802"
Duel,Air duel,33,17,13,7,"701, 1802"
Pass,High pass,36,27,77,37,1802
Pass,Simple pass,64,48,59,69,1801
Pass,Simple pass,68,46,69,17,1801
Pass,Simple pass,48,53,73,20,1801
Duel,Ground loose ball duel,28,31,32,15,"701, 1802"
Foul,Foul,32,15,28,31,
Pass,Simple pass,51,28,70,5,1801
Pass,Simple pass,52,22,58,58,1801
Pass,Simple pass,61,35,73,31,1801
Pass,Head pass,61,14,71,12,1801
Pass,Simple pass,64,15,77,7,1801
Pass,Simple pass,68,27,78,10,1801
Duel,Ground loose ball duel,32,45,37,36,"703, 1801"
Pass,Simple pass,37,36,39,51,1801
Pass,Simple pass,65,25,75,6,1801
Pass,Simple pass,68,27,79,5,1801
Pass,Cross,77,84,92,48,"302, 402, 801, 1801"
Others on the ball,Acceleration,21,22,39,55,1801
Pass,Simple pass,39,55,49,78,1801
Free Kick,Throw in,61,0,60,26,1801
Pass,Simple pass,68,29,81,13,1801
Duel,Air duel,70,52,63,48,"701, 1802"
Pass,Simple pass,68,20,66,37,1801
Pass,Simple pass,68,24,76,8,1801
Pass,Simple pass,16,13,29,64,1801
Pass,Head pass,26,40,31,26,1801
Pass,Launch,21,24,56,77,1802
Pass,Simple pass,46,27,55,15,1801
Pass,Simple pass,53,30,63,25,1801
Pass,Simple pass,52,30,67,18,1801
Pass,Simple pass,18,41,42,94,1801
Pass,Simple pass,69,50,71,85,1801
Pass,Simple pass,46,40,45,13,1801
Duel,Air duel,19,39,19,50,"701, 1802"
Pass,Head pass,8,56,21,73,"1401, 1801"
Duel,Air duel,31,28,31,0,"703, 1801"
Pass,Simple pass,26,22,30,57,1801
Others on the ball,Touch,53,28,43,28,
Duel,Ground defending duel,43,28,44,31,"701, 1802"
Foul,Foul,44,31,43,28,1702
Pass,Simple pass,38,27,51,18,1801
Duel,Ground loose ball duel,76,32,71,31,"701, 1802"
Pass,Simple pass,56,30,56,24,1801
Pass,Head pass,26,36,12,31,1801
Pass,Simple pass,23,29,37,31,1801
Duel,Ground defending duel,27,5,15,4,"502, 703, 1801"
Duel,Ground attacking duel,15,4,16,12,"703, 1801"
Duel,Ground loose ball duel,19,9,30,20,"703, 1801"
Pass,Simple pass,32,37,45,27,1801
Pass,Simple pass,56,34,62,25,1801
Pass,Simple pass,57,28,67,3,1801
Pass,Simple pass,58,22,56,28,1801
Pass,Simple pass,67,22,77,3,1801
Pass,Simple pass,63,18,52,59,1801
Pass,Simple pass,62,17,69,30,1801
Pass,High pass,63,23,95,100,1802
Pass,Simple pass,44,77,40,84,1801
Pass,Simple pass,51,43,65,26,1801
Pass,Simple pass,23,42,47,38,1801
Others on the ball,Touch,28,48,18,24,
Pass,Simple pass,19,25,32,34,1801
Pass,Simple pass,29,20,40,3,1801
Pass,Simple pass,67,36,66,40,1801
Pass,Simple pass,23,30,33,28,1801
Pass,Simple pass,30,26,40,78,1801
Pass,Simple pass,40,31,57,18,1801
Free Kick,Free Kick,56,22,60,24,1801
Pass,Simple pass,63,13,69,1,1801
Pass,Simple pass,62,26,64,67,1801
Pass,Simple pass,59,30,74,3,1801
Pass,Simple pass,61,28,68,19,1801
Pass,Simple pass,58,30,64,72,1801
Pass,High pass,22,67,21,94,1801
Pass,Simple pass,33,29,43,79,1801
Pass,Simple pass,54,32,62,24,1801
Pass,Simple pass,30,23,12,50,1801
Pass,Simple pass,53,35,67,24,1801
Pass,Simple pass,66,25,70,21,1801
Pass,Simple pass,34,37,46,26,1801
Free Kick,Free Kick,29,48,38,80,1801
Pass,Simple pass,24,30,31,64,1801
Pass,Simple pass,45,35,56,16,1801
Pass,Simple pass,47,37,50,32,1801
Pass,Simple pass,65,92,68,68,1801
Pass,Simple pass,37,41,41,34,1801
Pass,Simple pass,25,51,56,23,1801
Pass,Simple pass,67,16,68,27,1801
Pass,Simple pass,68,18,71,30,1801
Pass,Simple pass,57,12,68,12,1801
Pass,Simple pass,56,14,68,21,1801
Pass,Simple pass,59,20,65,7,1801
Pass,Head pass,56,36,52,17,"1401, 1801"
Pass,Simple pass,42,33,61,47,1801
Pass,Simple pass,6,51,37,50,"1901, 1401, 1801"
Others on the ball,Touch,97,28,95,1,1302
Pass,Cross,95,1,97,41,"402, 1802"
Duel,Air duel,21,31,0,0,"703, 1801"
Pass,Simple pass,32,35,49,51,1801
Pass,Head pass,16,45,26,29,"1401, 1801"
Pass,Simple pass,32,36,45,26,1801
Pass,Simple pass,36,36,45,13,1801
Pass,Simple pass,50,43,69,39,1801
Pass,Simple pass,18,34,20,76,1801
Duel,Air duel,7,43,21,7,"703, 1801"
Pass,High pass,27,7,31,56,1801
Pass,Simple pass,30,31,39,24,1801
Others on the ball,Clearance,5,14,43,25,"1401, 1802"
Pass,Simple pass,50,10,62,12,1801
Pass,Simple pass,52,16,56,40,1801
Pass,Simple pass,48,32,59,4,1801
Free Kick,Free kick shot,69,29,0,0,"402, 1101, 2101, 1802"
Pass,Simple pass,49,22,55,46,1801
Free Kick,Free Kick,21,26,30,44,1801
Pass,Simple pass,60,17,66,25,1801
Pass,Simple pass,45,38,56,26,1802
Pass,Simple pass,20,35,35,30,1801
Pass,Simple pass,43,32,64,8,1801
Pass,Simple pass,56,7,63,41,1801
